Name,Image,AC Bonus,Base AC,ST Ability,ST Bonus,ST Factor,Immunity,Resistance,Abilities,Ability Bonus,Ability Max,Additional HP,Skills,Skill Bonus,Skill Factor,Movement,Critical Chance,AR Types,AR Bonus,AR Factor,Attack Type,Weapon DMG,Weapon DMG Type,Death ST Factor,Ability Check,Ability Check Bonus,Ability Check Factor,Spell Save DC Bonus,Vulnerability,Immune to Conditions,Cant Move,Cant Act,Cant React,Initiative,Opponent AR Type,Opponent AR Factor,Darkvision,Skill Proficiency,Temporary HP,Ignore,DONE,Description
Eagle's Splendour,,,,,,,,,,,,,"Persuasion, Performance, Intimidation, Deception",,ADV,,,,,,,,,,CHA,,ADV,,,,,,,,,,,,,FALSE,TRUE,Has  Advantage on Charisma Checks.
Earthen Siphon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,A nearby earth myrmidon grants the affected entity Immunity to Poison damage and an additional 3d8Poison damage to  Elemental Rebuke. The affected entity also gains temporary access to  Chromatic Orb: Poison and an additional  Reaction per turn.
Edict of the Old Lord Skull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The Deathless One protects his fetid flock. Myrkul grants the affected entity  Necrotic Veil every turn.
Eggbearer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Carries an owlbear's egg. Its scent will attract the egg's mother.
Electrified Reflux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Lightning damage has charged Thisobald's special brew, letting him use  Electrified Regurgitation."
Electrocuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Takes 1d4Lightning damage at the start of each turn.
Elemental Affinity: Acid Resistance,,,,,,,,Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You are Resistant to Acid damage.
Elemental Affinity: Cold Resistance,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You are Resistant to Cold damage.
Elemental Affinity: Fire Resistance,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You are Resistant to Fire damage.
Elemental Affinity: Lightning Resistance,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You are Resistant to Lightning damage.
Elemental Affinity: Poison Resistance,,,,,,,,Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You are Resistant to Poison damage.
Elemental Cleaver: Acid,,,,,,,,,,,,,,,,,,,,,,1d6,Acid,,,,,,,,,,,,,,,,,FALSE,TRUE,"Channelling primordial might. Until the end of your  Rage, your weapon will deal an additional 1d6Acid and gain the  Thrown property. If thrown, it will immediately reappear in your hand."
Elemental Cleaver: Cold,,,,,,,,,,,,,,,,,,,,,,1d6,Cold,,,,,,,,,,,,,,,,,FALSE,TRUE,"Channelling primordial might. Until the end of your  Rage, your weapon will deal an additional 1d6Cold and gain the  Thrown property. If thrown, it will immediately reappear in your hand."
Elemental Cleaver: Fire,,,,,,,,,,,,,,,,,,,,,,1d6,Fire,,,,,,,,,,,,,,,,,FALSE,TRUE,"Channelling primordial might. Until the end of your  Rage, your weapon will deal an additional 1d6Fire and gain the  Thrown property. If thrown, it will immediately reappear in your hand."
Elemental Cleaver: Lightning,,,,,,,,,,,,,,,,,,,,,,1d6,Lightning,,,,,,,,,,,,,,,,,FALSE,TRUE,"Channelling primordial might. Until the end of your  Rage, your weapon will deal an additional 1d6Lightning and gain the  Thrown property. If thrown, it will immediately reappear in your hand."
Elemental Cleaver: Thunder,,,,,,,,,,,,,,,,,,,,,,1d6,Thunder,,,,,,,,,,,,,,,,,FALSE,TRUE,"Channelling primordial might. Until the end of your  Rage, your weapon will deal an additional 1d6Thunder and gain the  Thrown property. If thrown, it will immediately reappear in your hand."
Elemental Weapon: Acid,,,,,,,,,,,,,,,,,,,1,,,1d4,Acid,,,,,,,,,,,,,,,,,FALSE,TRUE,Has a +1 bonus to Attack rolls and deals an additional 1d4Acid damage.
Elemental Weapon: Cold,,,,,,,,,,,,,,,,,,,1,,,1d4,Cold,,,,,,,,,,,,,,,,,FALSE,TRUE,Has a +1 bonus to Attack rolls and deals an additional 1d4Cold damage.
Elemental Weapon: Fire,,,,,,,,,,,,,,,,,,,1,,,1d4,Fire,,,,,,,,,,,,,,,,,FALSE,TRUE,Has a +1 bonus to Attack rolls and deals an additional 1d4Fire damage.
Elemental Weapon: Lightning,,,,,,,,,,,,,,,,,,,1,,,1d4,Lightning,,,,,,,,,,,,,,,,,FALSE,TRUE,Has a +1 bonus to Attack rolls and deals an additional 1d4Lightning damage.
Elemental Weapon: Thunder,,,,,,,,,,,,,,,,,,,1,,,1d4,Thunder,,,,,,,,,,,,,,,,,FALSE,TRUE,Has a +1 bonus to Attack rolls and deals an additional 1d4Thunder damage.
Elixir of Arcane Cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Has an additional  Level 1 Spell Slot.
Elixir of Barkskin,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Armour Class increased to 16.
Elixir of Battlemage's Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity has  Arcane Acuity until its next Long Rest. Replaces effects from other elixirs when drunk.Gain Arcane Acuity for  Duration: 3 turns. Arcane Acuity cannot go below  Duration: 3 turns.
Elixir of Bloodlust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Affected entity has entered a murderous state of bloodlust. Once per turn, when it kills an enemy, it gains  5 temporary hit points and an  Action."
Elixir of Cloud Giant Strength,,,,,,,,,STR,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Strength increased to 27.
Elixir of Darkvision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,FALSE,TRUE,Can see in the dark up to  12 m / 40 ft.
Elixir of Heroism,,,,,1d4,,,,,,,,,,,,,,1d4,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity is granted a  1d4 bonus to Attack rolls and  Saving throws until the next long rest.
Elixir of Hill Giant Strength,,,,,,,,,STR,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Strength increased to 21.
Elixir of Peerless Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity's ability to maintain its spells has increased. It has  Advantage to  Saving throws against being charmed and for maintaining  Concentration. Magic can't put it to  Sleep.
Elixir of The Colossus,,,,STR,,ADV,,,,,,,Athletics,,ADV,,,,,,,1d4,Weapon,,STR,,ADV,,,,,,,,,,,,,FALSE,TRUE,"Size is increased Weapons deal an additional  1d4 damage, and the affected entity has  Advantage on Strength checks and  Saving throws. Carrying capacity is also increased by 25%."
Elixir of Viciousness,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,The number you need to roll a Critical Hit while attacking is reduced by 1. This effect can stack. Replaces effects from other elixirs when drunk.
Elixir of Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surprised,,,,5,,,,,,FALSE,TRUE,Affected entity has a +5 bonus to initiative and can't be  Surprised. Replaces effects from other elixirs when drunk.
Elven Elegance,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,Charmed,,,,,,,,,,FALSE,TRUE,"Noble elven arcana grants the affected entity an additional  10 m / 33 ft movement speed,  Superior Darkvision, and can't be  Charmed until its next Long Rest."
Enchanted Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Intricate arcane lockmaking prevents  Knock spells from opening this safe.
Encrusted with Frost,,,,DEX,,DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Affected entity has  Disadvantage on Dexterity  Saving throws. When there are 7 or more turns remaining, the entity must succeed a DC 12  Constitution saving throw or take 1d4Cold and become  Frozen. On a successful save, it only takes half damage. Afterward, the frost sloughs away. Removed by  Burning."
Encumbered,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Carrying too much weight. Movement Speed reduced by  3 m / 10 ft, and Jump distance is halved."
Endless Rage,,,,STR,,ADV,,"Bludgeoning, Piercing, Slashing",,,,,Athletics,,ADV,,,,,,,Rage+4,Weapon,,STR,,ADV,,,,,,,,,,,,,FALSE,TRUE,"Confers all the normal bonuses and resistances of the Rage variant of the Barbarian's chosen subclass, plus:Deal an additional 1d4Physical damage with weapon attacks (damage type inherited from equipped weapon) Suffer 1d4Psychic damage per turn  Rage does not end until the Barbarian uses the End Rage Bonus Action or becomes incapacitated."
Enemy of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Wanted for killing a guard. Allied guards will attack on sight, but Disguise Self will fool them."
Enhanced Armour Class,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Armour Class increased by 1.
Enlarged,,,,STR,,ADV,,,,,,,Athletics,,ADV,,,,,,,1d4,Weapon,,STR,,ADV,,,,,,,,,,,,,FALSE,TRUE,Size is increased. Weapon attacks deal  1d4 more damage. Has  Advantage on Strength Checks and  Saving throws.
Ensnared,,,,DEX,,DIS,,,,,,,,,,,,,,DIS,,,,,,,,,,,TRUE,,,,,ADV,,,,FALSE,TRUE,"Cannot move and takes 1d6Piercing damage per turn. Attack rolls against the creature have  Advantage, while the creature's Attack Rolls and Dexterity  Saving throws have  Disadvantage."
Entangled,,,,DEX,,DIS,,,,,,,,,,,,,,DIS,,,,,,,,,,,TRUE,,,,,ADV,,,,FALSE,TRUE,"Cannot move. Attack rolls against the creature have  Advantage, while the creature's Attack Rolls and Dexterity  Saving throws have  Disadvantage."
Enthralled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Peripheral vision reduced. Will keep looking at the spellcaster.
Entranced Murderer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity has been entranced by the Farslayer. Defeating the Farslayer will break the trance and garner you victory.
Entropic Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Missed an attack on a warlock. The warlock has  Advantage on their next Attack roll against the affected entity.
Enwebbed,,,,DEX,,DIS,,,,,,,,,,,,,,DIS,,,,,,,,,,,TRUE,,,,,ADV,,,,FALSE,TRUE,"Cannot move. Attack rolls against the creature have  Advantage, while the creature's Attack Rolls and Dexterity  Saving throws are rolled with  Disadvantage."
Ephemeral Whispers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Tempted by Ethel's whispers. This creature must succeed a DC 13  Wisdom saving throw at the start of their turn or be inflicted with  Hag's Pawn.
Eternally Bound,,,,,,,"Poison, Bludgeoning, Piercing, Slashing, Acid, Cold, Fire, Force, Lightning, Necrotic, Psychic, Radiant, Thunder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Cazador will not let this spawn die - it is Immune to all damage.
Ether-Essence Slumber,,,,"STR, DEX, CON",-100,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,ADV,,,,FALSE,TRUE,"A deep, dream-ridden sleep has overcome the creature, induced by judicious ingesting of Ether. The creature cannot move or act. The creature automatically fails Strength and Dexterity  Saving throws. Attack rolls against the creature have  Advantage Removed by taking damage or being Shoved."
Ethereal Escape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"As a  Reaction to receiving damage, the incubus has travelled to the Ethereal Plane and can't be damaged or targeted until it returns at the start of its next turn."
Evasive Footwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Melee, Melee Unarmed",DIS,,,,FALSE,TRUE,Enemies have  Disadvantage on melee attacks against the affected entity.
Ever Radiant,,,,,,,,,,,,,,,,,,,,,,1d4,Radiant,,,,,,,,,,,,,,,,,FALSE,TRUE,Deals an additional 1d4Radiant.
Executioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Spurred on by bloodlust. Next Attack roll will be a Critical Hit.
Exhausted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Lack of rest has left you exhausted. There are six levels of exhaustion, and each level is worse than the last. Completing a Long Rest reduces your exhaustion level by 1."
Expeditious Retreat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Dash available as a Bonus Action.
Exploding Flumph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,This spirit will explode at the end of the turn. Each creature within  2 m / 7 ft must succeed a Dexterity  Saving throw or take 1d6Force.
Explosion Imminent!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"The freezing sphere will explode, casting  Otiluke's Freezing Sphere."
Explosive Hoard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,This mound of coins is primed to explode.
Exposing Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Creature is distracted. The next attack against the creature from within 2 m / 7 ft is guaranteed to be a critical hit.
Extinguished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,This light was snuffed out.
Extra Bonus Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Grants an additional  Bonus Action on this turn.
Eyebite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Entity can recast  Eyebite without expending a spell slot.
Eyebite: Sickened,,,,,,,,,,,,,,,DIS,,,,,DIS,,,,,,,DIS,,,,,,,,,,,,,FALSE,TRUE,Affected entity has  Disadvantage on Attack Rolls and Checks
Eyes of the Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,FALSE,TRUE,"You can see normally in darkness, both magical and non-magical, to a distance of 25 m / 83 ft."
Faerie Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV,,,,FALSE,TRUE,Shedding dim light. Incoming attacks have  Advantage. Cannot be Invisible.
False Heart,,,,WIS,,DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Affected entity will be automatically Critically Hit by Viconia's attacks, and it has Disadvantage on Wisdom Saving Throws. To end this effect, the creature must deny its False Heart by  Silencing itself."
False Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,FALSE,TRUE,Gain  7 temporary hit points plus 5 additional for each spell slot level above the first.
Faltering Will,,,,WIS,,DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Disadvantage on Wisdom Saving Throws until Long Rest.
Fangs of the Fire Snake,,,,,,,,,,,,,,,,,,,,,,1,Fire,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity's fists are flickering with flame. Its melee attacks deal an additional 1d4Fire damage.
Favoured Weapon,,,,,,,,,,,,,,,,,,,1,,,1,Weapon,,,,,,,,,,,,,,,,,FALSE,TRUE,This weapon has +1 bonus to damage and attack rolls.
Fear Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The affected creature can  Frighten nearby beasts and humanoids with its fey presence.
Fearful,,,,,,,,,,,,,,,DIS,,,,,DIS,,,,,,,DIS,,,,,,,,,,,,,FALSE,TRUE,Has  Disadvantage on Ability Checks and Attack rolls. It must run from the source of its fear and cannot take any additional actions. Targets can make a  Saving throw to shake off this effect if they end their turn out of sight from their source of fear.
Feather Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Rate of falling is slowed, granting Immunity to Falling damage."
Feeble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Deal only half damage with weapon attacks that use Strength. At the end of each turn, the affected creature can make a Constitution  Saving throw to end this condition."
Feigning Death,,,,,,,,"Bludgeoning, Piercing, Slashing, Acid, Cold, Fire, Force, Lightning, Necrotic, Poison, Radiant, Thunder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Has sunk into a magical coma deep enough to imitate death Resistant to all damage except Psychic damage, and Disease and Poison no longer have any effect Removed when Helped"
Festering Frenzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,This gnoll will become  Frenzied at the start of his next turn.
Festering Spores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"While  Symbiotic Entity is active you can spread  Bibberbang Spores,  Timmask Spores, and  Haste Spores."
Fetcher's Favour,,,,CHA,1d4,,,,,,,,"Persuasion, Intimidation, Performance, Deception",1d4,,,,,,,,,,,CHA,1d4,,,,,,,,,,,,,,FALSE,TRUE,"Equipped with  Mol's tricks of the trade, affected creatures can cast  Rays of Fire, reduce all Fire damage by 5 and gain an additional 1d4 to Charisma Checks and Saving Throws."
Fetid Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,All nearby creatures fall victim to the ooze's Fetid Fumes and 1d6Acid per turn.
Fetid Fumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"1d6 (1~6) Acid The fumes emanating from the Fetid Ooze eat away at the affected entity, so long as it stays within  2 m / 7 ft. 1d6Acid at the start of each round."
Feverish,,,,STR,,DIS,,,,,,,Athletics,,DIS,,,,,,,,,,STR,,DIS,,,,,,,,,,,,,FALSE,TRUE,"Increasingly feverish.  Disadvantage on  Ability checks and  Saving throws using Strength. When the duration ends, make a DC 15  Constitution saving throw. Failing will inflict the condition  Filth Fever."
Feywild Sparks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"While  Tides of Chaos is active, the affected entity will always trigger its  Wild Magic Surge when casting spells."
Fiendish Obeisance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity must obey the commands of the fiend directly controlling it.
Fiendish Obeisance: Kneel,,,,"STR, DEX",,DIS,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,"Melee, Melee Spell, Melee Unarmed",ADV,,,,FALSE,TRUE,"Affected entity has been compelled to kneel by a fiend. It cannot move or take actions, bonus actions, or reactions, and has  Disadvantage on Strength and Dexterity  Saving throws. Attacks against it have  Advantage if they're made within  3 m / 10 ft of the entity. The entity must spend half its movement speed to stand up."
Fiendish Resilience: Acid,,,,,,,,Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Acid damage.
Fiendish Resilience: Bludgeoning,,,,,,,,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Bludgeoning damage.
Fiendish Resilience: Cold,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Cold damage.
Fiendish Resilience: Fire,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Fire damage.
Fiendish Resilience: Force,,,,,,,,Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Force damage.
Fiendish Resilience: Lightning,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Lightning damage.
Fiendish Resilience: Necrotic,,,,,,,,Necrotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Necrotic damage.
Fiendish Resilience: Piercing,,,,,,,,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Piercing damage.
Fiendish Resilience: Poison,,,,,,,,Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Poison damage.
Fiendish Resilience: Psychic,,,,,,,,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Psychic damage.
Fiendish Resilience: Radiant,,,,,,,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Radiant damage.
Fiendish Resilience: Slashing,,,,,,,,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Slashing damage.
Fiendish Resilience: Thunder,,,,,,,,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,You have Resistance to Thunder damage.
Fiendish Vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Affected entity can call on diabolic arcana to cast  Thaumaturgy,  Hellish Rebuke,  Burning Hands, and  Flame Blade once each until the next Long Rest."
Fierce Perilous Stakes,,,,,,,,,,,,,,,,,+5,,,,,15,Psychic,,,,,,"Cold, Bludgeoning, Piercing, Slashing, Acid, Fire, Force, Lightning, Necrotic, Poison, Psychic, Radiant, Thunder",,,,,,,,,,,FALSE,TRUE,Affected entity's attacks deal an additional 15Psychic damage and heal 2d8hit points. The entity scores a Critical Hit when rolling a 15 or higher. The entity is Vulnerable to all damage.
Fiery Brew,,,,,,,,,,,,,,,,,,,,,,2d6,Fire,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity deals an additional 2d6Fire damage while infused with Thisobald's current brew.
Filth Fever,,,,STR,,DIS,,,,,,,Athletics,,DIS,,,,,DIS,,,,,STR,,DIS,,,,,,,,,,,,,FALSE,TRUE,"Crushed by fever.  Disadvantage on Attack rolls, and  Ability checks and  Saving throws using Strength. When the duration ends, make a DC 15  Constitution saving throw. Failing will re-inflict the Filth Fever condition.  Duration: 25 turns"
Fire Infusion,,,,,,,,,,,,,,,,,,,,,,1d4,Fire,,,,,,,,,,,,,,,,,FALSE,TRUE,The affected entity deals an additional 1d4Fire the next time it deals damage with a weapon.
Fire Resistance,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,Burning,,,,,,,,,,FALSE,TRUE,"You gain Resistance to Fire damage, and can no longer  Burn."
Fire Resistance Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The fantastical powers of this hallucinatory imp give all nearby creatures Resistance to Fire damage.
Fire Shield: Chill,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Wreathed in ice-cold flames. Sheds light in a 3m / 10ft radius. Has Resistance to Fire damage. Deals 2d8Cold damage to anyone who hits with a melee attack.
Fire Shield: Warm,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Wreathed in scorching flames. Sheds light in a 3m / 10ft radius. Has Resistance to Cold damage. Deals 2d8Fire damage to anyone who hits with a melee attack.
Firewine Belly,,,,,,,,,,,,,"Acrobatics, Sleight of Hand, Stealth, Deception, Intimidation, Performance, Persuasion",,DIS,,,,,,,,,,"DEX, CHA",,DIS,,,,,,,,,,,,,FALSE,TRUE,"Drunk on Firewine. Has  Disadvantage on Charisma and Dexterity Checks If the drunk entity is killed with Fire, a  Firewine Explosion occurs."
Flame-Feeble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,,,,,,,,,,FALSE,TRUE,Affected entity is Vulnerable to Fire damage.
Flaming Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Creature is standing within  1.5 m / 5 ft of a flaming sphere and will take 2d6Fire at the end of its turn. On a successful save, it will still take half damage."
Flaming Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Enemies and objects within  1.5 m / 5 ft of the sphere at end of their turn take  2d6 (2~12) Fire  damage. On a successful save, it still takes half damage."
Fleeting Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"If the affected entity is attacked with Radiant damage, Raphael's protection reflects twice that amount as Fire damage and this condition ends."
Flesh Rot,,,,,,,,,,,,,"Persuasion, Performance, Intimidation, Deception",,DIS,,,,,,,,,,CHA,,DIS,,"Cold, Bludgeoning, Piercing, Slashing, Acid, Fire, Force, Lightning, Necrotic, Poison, Psychic, Radiant, Thunder",,,,,,,,,,,FALSE,TRUE,"Flesh is decaying.  Disadvantage on  Ability checks and  Saving throws using Charisma. Vulnerable to all damage. DC 15  Constitution saving throw to remove condition when the duration ends, otherwise it is reapplied."
Flesh to Stone: Restrained Stage 1,,,,DEX,,DIS,,,,,,,,,,,,,,DIS,,,,,,,,,,,TRUE,,,,,ADV,,,,FALSE,TRUE,"Affected entity cannot move as its body begins to petrify over the course of 3 turns. Attack rolls against it have  Advantage, while the entity's Attack Rolls and Dexterity  Saving throws have  Disadvantage."
Flesh to Stone: Restrained Stage 2,,,,DEX,,DIS,,,,,,,,,,,,,,DIS,,,,,,,,,,,TRUE,,,,,ADV,,,,FALSE,TRUE,"Affected entity cannot move as its body progresses toward petrification. Attack rolls against it have  Advantage, while the entity's Attack Rolls and Dexterity  Saving throws have  Disadvantage."
Flesh to Stone: Restrained Stage 3,,,,DEX,,DIS,,,,,,,,,,,,,,DIS,,,,,,,,,,,TRUE,,,,,ADV,,,,FALSE,TRUE,"Affected entity cannot move as its body enters the final bone-stiffening stages of petrification. Attack rolls against it have  Advantage, while the entity's Attack Rolls and Dexterity  Saving throws have  Disadvantage."
Flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Fly up to target position, up to  18 m / 60 ft each turn using your Movement Speed."
Flying Strike,,,,,,,,,,,,,,,,,,,,,,1d4,Psychic,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity has flown this turn. Its next melee weapon attack deals an additional 1d4Psychic.
Foolish Little Pup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Shouldn't have done that, petal. Frightened."
Force Conduit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Bludgeoning, Piercing, and Slashing damage against the affected entity is reduced by 1 per turn remaining. If the entity takes damage while it has 5 or more turns remaining, it deals 1d4Force damage in a 6 m / 20 ft radius. Force Conduit has a maximum  Duration: 7 turns."
Force Resistance,,,,,,,,Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Resistant to Force damage.
Force Steadfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity can't be moved against its will.
Forced Manoeuvre,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Movement speed increased by 4.5 m / 15 ft and doesn't provoke Opportunity Attacks.
Form of Artifice,,,,,,,,Lightning,,,,,,,,,,,,ADV,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Your constructed form grants you  Advantage on Attack rolls and resistance to Lightning damage.
