,,,,,,,Casting,,,,,,,,,,,,,,,Ability,,,,,,Saving Throws,,,,,,,,
Antinia the Goon,Tactician,8,96,16,0,+3,,,,,,,,,,,,,,,,18,11,14,12,12,14,+7,0,+5,+1,+1,+2,"Dual Wielder,Extra Attack,Opportunity Attack,Two-Weapon Fighting",,
Quivers Antinnia,Balanced,8,59,16,+5,+3,,,,,,,,,,,,,,,,12,20,12,12,14,10,+4,+8,+1,+1,+2,0,"Archery,Extra Attack,Opportunity Attack,Land's Stride: Difficult Terrain",,
Quivers Antinnia,Explorer,8,41,16,+5,+5,,,,,,,,,,,,,,,,12,20,12,12,14,10,+6,+10,+1,+1,+2,0,"Archery,Extra Attack,Opportunity Attack,Land's Stride: Difficult Terrain",,
Quivers Antinnia,Tactician,8,76,16,+5,+3,,,,,,,,,,,,,,,,12,20,12,12,14,10,+4,+8,+1,+1,+2,0,"Archery,Extra Attack,Opportunity Attack,Land's Stride: Difficult Terrain",,
Harper Antony,Balanced,6,48,13,+2,+3,,,,,,,,,,,,,,,,12,15,12,10,14,12,+4,+5,+1,0,+2,+1,"Extra Attack,Opportunity Attack",,
Harper Antony,Explorer,6,33,13,+2,+5,,,,,,,,,,,,,,,,12,15,12,10,14,12,+6,+7,+1,0,+2,+1,"Extra Attack,Opportunity Attack",,
Harper Antony,Tactician,6,62,13,+2,+3,,,,,,,,,,,,,,,,12,15,12,10,14,12,+4,+5,+1,0,+2,+1,"Extra Attack,Opportunity Attack",,
Apikusis,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Apikusis,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Apikusis,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Arabella,Balanced,1,5,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance",,
Arabella,Explorer,1,3,10,0,+4,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance",,
Arabella,Tactician,1,6,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance",,
Aradin,Balanced,3,28,16,+2,+2,,,,,,,,,,,,,,,,15,14,14,12,12,12,+2,+2,+2,+1,+1,+1,"Opportunity Attack,Tenacity",,
Aradin,Explorer,3,19,16,+2,+4,,,,,,,,,,,,,,,,15,14,14,12,12,12,+2,+2,+2,+1,+1,+1,"Opportunity Attack,Tenacity",,
Aradin,Tactician,3,36,16,+2,+2,,,,,,,,,,,,,,,,15,14,14,12,12,12,+2,+2,+2,+1,+1,+1,"Opportunity Attack,Tenacity",,
Araj Oblodra,Balanced,6,52,14,+3,+3,,,,,,,,,,,,,,,,10,17,12,12,10,12,0,+6,+1,+4,0,+1,"Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity,Uncanny Dodge",,
Araj Oblodra,Explorer,6,36,14,+3,+5,,,,,,,,,,,,,,,,10,17,12,12,10,12,0,+8,+1,+6,0,+1,"Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity,Uncanny Dodge",,
Araj Oblodra,Tactician,6,67,14,+3,+3,,,,,,,,,,,,,,,,10,17,12,12,10,12,0,+6,+1,+4,0,+1,"Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity,Uncanny Dodge",,
Aran Elomar,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Aran Elomar,Explorer,1,3,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Aran Elomar,Tactician,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Arborio Rolfin,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Arborio Rolfin,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Arborio Rolfin,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Arcagh,Balanced,4,36,17,+2,+2,,,,,,,,,,,,,,,,15,14,13,12,10,12,+4,+2,+3,+1,0,+1,"Darkvision,Dual Wielder,Dual Wielder: Bonus Armour Class,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",,
Arcagh,Explorer,4,25,17,+2,+4,,,,,,,,,,,,,,,,15,14,13,12,10,12,+6,+2,+5,+1,0,+1,"Darkvision,Dual Wielder,Dual Wielder: Bonus Armour Class,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",,
Arcagh,Tactician,4,46,17,+2,+2,,,,,,,,,,,,,,,,15,14,13,12,10,12,+4,+2,+3,+1,0,+1,"Darkvision,Dual Wielder,Dual Wielder: Bonus Armour Class,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",,
Archer Velicia,Balanced,5,46,17,+4,+3,,,,,,,Full Resistance,,,,,,,,,12,18,12,10,14,12,+4,+7,+1,0,+2,+1,"Darkvision,Dread Ambusher,Extra Attack,Fey Ancestry,Opportunity Attack,Ranger Knight,Wasteland Wanderer: Cold",,
Archer Velicia,Explorer,5,32,17,+4,+5,,,,,,,Full Resistance,,,,,,,,,12,18,12,10,14,12,+6,+9,+1,0,+2,+1,"Darkvision,Dread Ambusher,Extra Attack,Fey Ancestry,Opportunity Attack,Ranger Knight,Wasteland Wanderer: Cold",,
Archer Velicia,Tactician,5,59,17,+4,+3,,,,,,,Full Resistance,,,,,,,,,12,18,12,10,14,12,+4,+7,+1,0,+2,+1,"Darkvision,Dread Ambusher,Extra Attack,Fey Ancestry,Opportunity Attack,Ranger Knight,Wasteland Wanderer: Cold",,
Archivist,Balanced,1,8,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",,
Archivist,Explorer,1,5,10,0,+4,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",,
Archivist,Tactician,1,10,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",,
Zealot Arden,Balanced,8,70,18,0,+3,,,,,,,,,,,,,,,,18,10,16,9,11,16,+7,+3,+6,+2,+6,+9,"Darkvision,Divine Health,Extra Attack,Fey Ancestry,Great Weapon Fighting,Opportunity Attack,Sunlight Sensitivity",Aura of Protection,
Zealot Arden,Explorer,8,49,18,0,+5,,,,,,,,,,,,,,,,18,10,16,9,11,16,+7,+3,+6,+2,+8,+11,"Darkvision,Divine Health,Extra Attack,Fey Ancestry,Great Weapon Fighting,Opportunity Attack,Sunlight Sensitivity",Aura of Protection,
Zealot Arden,Tactician,8,91,18,0,+3,,,,,,,,,,,,,,,,18,10,16,9,11,16,+7,+3,+6,+2,+6,+9,"Darkvision,Divine Health,Extra Attack,Fey Ancestry,Great Weapon Fighting,Opportunity Attack,Relentless Avenger,Sunlight Sensitivity",Aura of Protection,
Githyanki Ardent,Balanced,5,28,12,+2,+3,,,,,,,,,,,,,,,,10,14,16,16,14,10,0,+2,+6,+6,+5,0,"Opportunity Attack,Extra Attack",,
Githyanki Ardent,Explorer,5,19,12,+2,+5,,,,,,,,,,,,,,,,10,14,16,16,14,10,0,+2,+8,+8,+7,0,"Opportunity Attack,Extra Attack",,
Githyanki Ardent,Tactician,5,36,12,+2,+3,,,,,,,,,,,,,,,,10,14,16,16,14,10,0,+2,+6,+6,+5,0,"Opportunity Attack,Extra Attack,Potent Cantrip,Psionic Empowerment",,
Fist 'Edge' Arensen,Balanced,8,62,16,+1,+3,,,,,,,,,,,,,,,,21,13,17,10,12,8,+8,+1,+7,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Fist 'Edge' Arensen,Explorer,8,58,16,+1,+5,,,,,,,,,,,,,,,,21,13,17,10,12,8,+10,+1,+9,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Fist 'Edge' Arensen,Tactician,8,65,16,+1,+3,,,,,,,,,,,,,,,,21,13,17,10,12,8,+8,+1,+7,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Arfur Gregorio,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,+2,+2,Opportunity Attack,,
Alchemist Argram,Balanced,5,44,12,+1,+3,,,,,,,,,,,,Full Resistance,,,,10,12,12,16,12,10,0,+1,+1,+6,+4,0,"Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision",,
Alchemist Argram,Explorer,5,30,12,+1,+5,,,,,,,,,,,,Full Resistance,,,,10,12,12,16,12,10,0,+1,+1,+8,+6,0,"Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision",,
Alchemist Argram,Tactician,5,57,12,+1,+3,,,,,,,,,,,,Full Resistance,,,,10,12,12,16,12,10,0,+1,+1,+6,+4,0,"Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision",,
Arka,Balanced,3,22,14,+2,+2,,,,,,,,Full Resistance,,,,,,,,12,15,12,10,14,12,+3,+4,+1,0,+2,+1,"Darkvision,Hellish Resistance,Opportunity Attack",,
Arka,Explorer,3,15,14,+2,+4,,,,,,,,Full Resistance,,,,,,,,12,15,12,10,14,12,+5,+6,+1,0,+2,+1,"Darkvision,Hellish Resistance,Opportunity Attack",,
Arka,Tactician,3,28,14,+2,+2,,,,,,,,Full Resistance,,,,,,,,12,15,12,10,14,12,+3,+4,+1,0,+2,+1,"Darkvision,Hellish Resistance,Opportunity Attack",,
Arkleia Oloril,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Arkleia Oloril,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Arkleia Oloril,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Arne Jacobson,Balanced,,6,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Arne Jacobson,Explorer,,4,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Arne Jacobson,Tactician,,7,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Arnell Hallowleaf,Balanced,1,82,12,+2,+2,,,,,,,,,,,,,,,,15,14,13,12,12,14,+4,+2,+3,+1,+1,+2,"Darkvision,Fey Ancestry,Opportunity Attack",,
Arnell Hallowleaf,Explorer,1,57,12,+2,+4,,,,,,,,,,,,,,,,15,14,13,12,12,14,+6,+2,+5,+1,+1,+2,"Darkvision,Fey Ancestry,Opportunity Attack",,
Arnell Hallowleaf,Tactician,1,106,12,+2,+2,,,,,,,,,,,,,,,,15,14,13,12,12,14,+4,+2,+3,+1,+1,+2,"Darkvision,Fey Ancestry,Opportunity Attack",,
Fist Arrinye,Balanced,8,62,16,+5,+3,,,,,,,,,,,,,,,,12,21,14,8,14,10,+4,+8,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Fist Arrinye,Explorer,8,59,16,+5,+5,,,,,,,,,,,,,,,,12,21,14,8,14,10,+6,+10,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Fist Arrinye,Tactician,8,64,16,+5,+3,,,,,,,,,,,,,,,,12,21,14,8,14,10,+4,+8,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Arron,Balanced,3,26,15,+2,+2,,,,,,,,,,,,,,,,15,14,12,12,10,12,+4,+2,+3,+1,0,+1,"Brave,Halfling Luck,Opportunity Attack",,
Arron,Explorer,3,18,15,+2,+4,,,,,,,,,,,,,,,,15,14,12,12,10,12,+6,+2,+5,+1,0,+1,"Brave,Halfling Luck,Opportunity Attack",,
Arron,Tactician,3,33,15,+2,+2,,,,,,,,,,,,,,,,15,14,12,12,10,12,+4,+2,+3,+1,0,+1,"Brave,Halfling Luck,Opportunity Attack",,
Art Cullagh,Balanced,6,32,10,0,+3,,,,,,,,,,,,,,,,16,11,14,12,12,14,+6,0,+5,+1,+1,+2,"Extra Attack,Opportunity Attack",Catatonic,
Art Cullagh,Explorer,6,22,10,0,+5,,,,,,,,,,,,,,,,16,11,14,12,12,14,+8,0,+7,+1,+1,+2,"Extra Attack,Opportunity Attack",Catatonic,
Art Cullagh,Tactician,6,41,10,0,+3,,,,,,,,,,,,,,,,16,11,14,12,12,14,+6,0,+5,+1,+1,+2,"Extra Attack,Opportunity Attack",Catatonic,
Harper Arthus,Balanced,6,62,13,+2,+3,,,,,,,,,,,,,,,,15,14,15,10,12,12,+5,+2,+5,0,+1,+1,"Danger Sense,Darkvision,Extra Attack,Fast Movement,Fey Ancestry,Opportunity Attack,Unarmoured Defence (Barbarian)",,
Harper Arthus,Explorer,6,43,13,+2,+5,,,,,,,,,,,,,,,,15,14,15,10,12,12,+7,+2,+7,0,+1,+1,"Danger Sense,Darkvision,Extra Attack,Fast Movement,Fey Ancestry,Opportunity Attack,Unarmoured Defence (Barbarian)",,
Harper Arthus,Tactician,6,80,13,+2,+3,,,,,,,,,,,,,,,,15,14,15,10,12,12,+5,+2,+5,0,+1,+1,"Danger Sense,Darkvision,Extra Attack,Fast Movement,Fey Ancestry,Opportunity Attack,Unarmoured Defence (Barbarian)",,
Artimezt,Balanced,4,32,14,+3,+2,,,,,,,,,,,,,,,,10,16,12,10,14,10,+2,+5,+1,0,+2,0,"Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",,
Artimezt,Explorer,4,22,14,+3,+4,,,,,,,,,,,,,,,,10,16,12,10,14,10,+4,+7,+1,0,+2,0,"Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",,
Artimezt,Tactician,4,41,14,+3,+2,,,,,,,,,,,,,,,,10,16,12,10,14,10,+2,+5,+1,0,+2,0,"Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",,
Asharak,Balanced,3,24,11,+1,+2,,,,,,,,Full Resistance,,,,,,,,18,12,16,10,10,12,+6,+1,+5,0,0,+1,"Darkvision,Hellish Resistance,Opportunity Attack",,
Asharak,Explorer,3,16,11,+1,+4,,,,,,,,Full Resistance,,,,,,,,18,12,16,10,10,12,+8,+1,+7,0,0,+1,"Darkvision,Hellish Resistance,Opportunity Attack",,
Asharak,Tactician,3,31,11,+1,+2,,,,,,,,Full Resistance,,,,,,,,18,12,16,10,10,12,+6,+1,+5,0,0,+1,"Darkvision,Hellish Resistance,Opportunity Attack",,
Asparagus Mhallie,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Asparagus Mhallie,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Asparagus Mhallie,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Servant Asthena,Balanced,8,6,10,0,+3,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Servant Asthena,Explorer,8,4,10,0,+5,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Servant Asthena,Tactician,8,8,10,0,+3,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Astoundo the Greater,Balanced,1,8,1,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Astoundo the Greater,Explorer,1,5,1,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Astoundo the Greater,Tactician,1,10,1,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Astoundo the Lesser,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Astoundo the Lesser,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Astoundo the Lesser,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Youth Astyl,Balanced,3,22,11,+1,+2,,,,,,,,,,,,,,,,14,12,12,10,8,8,+2,+1,+1,0,-1,-1,Opportunity Attack,,
Youth Astyl,Explorer,3,15,11,+1,+4,,,,,,,,,,,,,,,,14,12,12,10,8,8,+2,+1,+1,0,-1,-1,Opportunity Attack,,
Youth Astyl,Tactician,3,28,11,+1,+2,,,,,,,,,,,,,,,,14,12,12,10,8,8,+2,+1,+1,0,-1,-1,Opportunity Attack,,
Asumi,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Asumi,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Asumi,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Fist Aubree,Balanced,6,48,16,+3,+3,,,,,,,,,,,,,,,,12,16,12,10,14,10,+4,+6,+1,0,+2,0,"Darkvision,Extra Attack,Fey Ancestry,Opportunity Attack",,
Fist Aubree,Explorer,6,33,16,+3,+5,,,,,,,,,,,,,,,,12,16,12,10,14,10,+6,+8,+1,0,+2,0,"Darkvision,Extra Attack,Fey Ancestry,Opportunity Attack",,
Fist Aubree,Tactician,6,62,16,+3,+3,,,,,,,,,,,,,,,,12,16,12,10,14,10,+4,+6,+1,0,+2,0,"Darkvision,Extra Attack,Fey Ancestry,Opportunity Attack",,
Augur Harxkellan,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Opportunity Attack,Toggle Non-Lethal Attacks",,
Augur Harxkellan,Explorer,1,16,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Opportunity Attack,Toggle Non-Lethal Attacks",,
Augur Harxkellan,Tactician,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Opportunity Attack,Toggle Non-Lethal Attacks",,
Avery Sonshal,Balanced,9,63,12,+2,+4,,,,,,,,,,,,,,,,9,14,30,17,12,11,-1,+2,+10,+7,+5,0,Opportunity Attack,,
Avery Sonshal,Explorer,9,44,12,+2,+6,,,,,,,,,,,,,,,,9,14,30,17,12,11,-1,+2,+10,+9,+7,0,Opportunity Attack,,
Avery Sonshal,Tactician,9,81,12,+2,+4,,,,,,,,,,,,,,,,9,14,30,17,12,11,-1,+2,+10,+7,+5,0,Opportunity Attack,,
Dark Breaker Avgarioletta,Balanced,10,68,14,0,+4,,,,,,,,,,Full Resistance,,,,,,16,10,12,16,18,12,+3,0,+1,+7,+8,+1,Opportunity Attack,,
Dark Breaker Avgarioletta,Explorer,10,47,14,0,+6,,,,,,,,,,Full Resistance,,,,,,16,10,12,16,18,12,+3,0,+1,+9,+10,+1,Opportunity Attack,,
Dark Breaker Avgarioletta,Tactician,10,88,14,0,+4,,,,,,,,,,Full Resistance,,,,,,16,10,12,16,18,12,+3,0,+1,+7,+8,+1,Opportunity Attack,,
Avourel,Balanced,1,8,1,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Avourel,Explorer,1,5,1,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Avourel,Tactician,1,10,1,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Dame Aylin,Balanced,11,85,18,0,+4,CHA,15,,,,,,,,,,,,,,18,10,16,11,13,17,+4,0,+3,0,+5,+7,"Child of the Moonmaiden,Divine Health,Extra Attack,Improved Divine Smite,Opportunity Attack",,
Dame Aylin,Explorer,11,110,18,0,+6,CHA,17,,,,,,,,,,,,,,18,10,16,11,13,17,+4,0,+3,0,+7,+9,"Child of the Moonmaiden,Divine Health,Extra Attack,Improved Divine Smite,Opportunity Attack",,
Ayo Armbrust,Balanced,1,5,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Ayo Armbrust,Explorer,1,3,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Ayo Armbrust,Tactician,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Tracker Azak,Balanced,1,7,13,+2,+2,,,,,,,,,,,,,,,,8,14,10,10,8,8,-1,+2,0,0,-1,-1,"Darkvision,Opportunity Attack",,
Tracker Azak,Explorer,1,4,13,+2,+4,,,,,,,,,,,,,,,,8,14,10,10,8,8,-1,+2,0,0,-1,-1,"Darkvision,Opportunity Attack",,
Tracker Azak,Tactician,1,9,13,+2,+2,,,,,,,,,,,,,,,,8,14,10,10,8,8,-1,+2,0,0,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Tracker Azak,Honour,1,11,13,+2,+2,,,,,,,,,,,,,,,,8,14,10,10,8,8,-1,+2,0,0,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Azari,Balanced,8,62,16,+1,+3,,,,,,,,,,,,,,,,21,13,17,10,12,8,+8,+1,+7,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Azari,Explorer,8,59,16,+1,+5,,,,,,,,,,,,,,,,21,13,17,10,12,8,+10,+1,+9,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Azari,Tactician,8,64,16,+1,+3,,,,,,,,,,,,,,,,21,13,17,10,12,8,+8,+1,+7,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Youth Ba’akreth,Balanced,3,22,11,+1,+2,,,,,,,,,,,,,,,,14,12,12,10,8,8,+2,+1,+1,0,-1,-1,Opportunity Attack,,
Youth Ba’akreth,Explorer,3,15,11,+1,+4,,,,,,,,,,,,,,,,14,12,12,10,8,8,+2,+1,+1,0,-1,-1,Opportunity Attack,,
Youth Ba’akreth,Tactician,3,28,11,+1,+2,,,,,,,,,,,,,,,,14,12,12,10,8,8,+2,+1,+1,0,-1,-1,Opportunity Attack,,
Guard Baalfe,Balanced,10,62,18,0,+4,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Guard Baalfe,Explorer,10,43,18,0,+6,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Guard Baalfe,Tactician,10,80,18,0,+4,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Babyjowls,Balanced,3,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Bad Twin Bubbins,Balanced,3,43,14,+3,+2,,,,,,,,,,,,,,,,12,16,12,12,12,12,+1,+5,+1,+3,+1,+1,"Opportunity Attack,Brave,Halfling Luck",,
Bad Twin Bubbins,Explorer,3,30,14,+3,+2,,,,,,,,,,,,,,,,12,16,12,12,12,12,+1,+5,+1,+3,+1,+1,"Opportunity Attack,Brave,Halfling Luck",,
Bad Twin Bubbins,Tactician,3,55,14,+3,+2,,,,,,,,,,,,,,,,12,16,12,12,12,12,+1,+5,+1,+3,+1,+1,"Opportunity Attack,Brave,Halfling Luck",,
Baelen Bonecloak,Balanced,1,1,11,+1,+2,,,,,,,,,,,,Resistance to Magical,,,,18,12,14,10,12,12,+6,+1,+4,0,+1,+1,"Darkvision,Dwarven Resilience",,
Baelen Bonecloak,Tactician,1,41,11,+1,+2,,,,,,,,,,,,Resistance to Magical,,,,18,12,14,10,12,12,+6,+1,+4,0,+1,+1,"Darkvision,Dwarven Resilience",,
Baff Elkhorn,Balanced,8,71,15,+2,+3,,,,,,,,,,,,,,,,18,15,17,12,13,13,+7,+2,+6,+1,+1,+1,"Brutal Critical,Danger Sense,Darkvision,Extra Attack,Fast Movement,Feral Instinct,Gnome Cunning,Opportunity Attack,Relentless Rage,Shortened Stride,Unarmoured Defence (Barbarian)",,
Baff Elkhorn,Explorer,8,49,15,+2,+5,,,,,,,,,,,,,,,,18,15,17,12,13,13,+9,+2,+8,+1,+1,+1,"Brutal Critical,Danger Sense,Darkvision,Extra Attack,Fast Movement,Feral Instinct,Gnome Cunning,Opportunity Attack,Relentless Rage,Shortened Stride,Unarmoured Defence (Barbarian)",,
Baff Elkhorn,Tactician,8,92,15,+2,+3,,,,,,,,,,,,,,,,18,15,17,12,13,13,+7,+2,+6,+1,+1,+1,"Brutal Critical,Danger Sense,Darkvision,Extra Attack,Fast Movement,Feral Instinct,Gnome Cunning,Opportunity Attack,Relentless Rage,Shortened Stride,Unarmoured Defence (Barbarian)",,
Fist of Bane Bagdog,Balanced,10,62,16,0,+4,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Fist of Bane Bagdog,Explorer,10,43,16,0,+6,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Fist of Bane Bagdog,Tactician,10,80,16,0,+4,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Servant Bailey,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Manip Bakshi,Balanced,10,62,10,+1,+4,,,,,,,,,,,,,,,,21,13,17,10,12,8,+9,+1,+7,0,+1,-1,"Opportunity Attack,Protection",,
