Name,Image,Permanent Conditions,Skills,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Ability,Ability Bonus,Ability Max,Skills Proficiency,Armour Proficiency,Weapon Proficiency,Initiative,Reduce Damage Type,Reduce Damage,Darkvision,AC,AC Mod,Extra HP/Level,Actions,Spells,Cantrips,Immunity,Immune to Conditions,Movement,Expertise,Resistance,Temporary HP,Critical Chance,Attack Type,Weapon DMG,Weapon DMG Type,AR Types,AR Bonus,AR Factor,Spell Save DC,Unarmed DMG Bonus,Unarmed DMG Type,Carrying capacity,Illithid Power,Condition,Condition Duration,Condition DC,Condition Ability,ST Spell Bonus,ST Proficiency,Requirements,Jump Distance,Ignore,DONE,Desc 1,Desc 2
Endurance by Fire,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Endurance by Fire is a passive feature that provides resistance to fire and better protection against certain abilities. ,You have Resistance to ⁠Fire damage and a +2 bonus to  Saving throws. 
Enervating Suffusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d4,Force,,FALSE,,,,,,,,,FALSE,TRUE,Enervating Suffusion is a passive feature that adds force damage to unarmed attacks. ,Your unarmed attacks deal an additional 1d4⁠Force damage. 
Envenom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Poisoned,3 Turns,13,CON,,,,,TRUE,FALSE,Envenom is a passive feature that inflicts  Poisoned on targets whenever the wearer deals poison type damage. ,"Whenever you deal ⁠Poison damage, the target needs to succeed a  Constitution saving throw or become  Poisoned. "
Escape the Horde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Escape the Horde is a Hunter Ranger passive feature that allow you to more safely escape the reach of an enemy. ,Opportunity Attacks against you have  Disadvantage. 
Ethel's Twisted Blessing,,,,,,,,,"STR, CON",2,,,,,,,,,,,,,,,,,,,,,,,1d12,Slashing,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,"Ethel's Twisted Blessing is a passive feature available to Ethel's Redcap servants that gives them additional health, strength and constitution scores, and damage to their attacks. ","As one of Ethel's loyal servants, this redcap has an additional 40 hit points, their Strength and Constitution scores are increased +2, and their attacks deal an additional 1~12⁠Slashing damage. "
Ethereal,,,,,,,,,,,,,,,,,,,,,,,,,,Pushed*,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Ethereal is a passive feature that marks this entity as a ghost. ,"Affected entity is incorporeal and can't be  Shoved,  Thrown, or used as an  Improvised Melee Weapon "
Ethereal Escape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Ethereal Escape,1 Turn,,,,,,,TRUE,FALSE,"Ethereal Escape is a Passive feature/Reaction that grants the creature the ability to automatically disappear when damaged. It is similar to the effect of  Blink, except this effect is guaranteed. ","When damaged, the Incubus escapes to the Ethereal Plane. He returns to the battlefield at the start of his next turn. "
Ethereal Form,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Ethereal Form is a passive feature that reduces all incoming damage by 8. ,All incoming damage is reduced by 8. 
Evasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,"Evasion is a Monk and Rogue passive feature that lets them evade area of effect damage which require Dexterity Saving Throws[See Notes], reducing or entirely negating the damage. ","Your agility lets you dodge out of the way of certain spells. When a spell or effect would deal half damage on a successful  Dexterity saving throw, it deals no damage if you succeed, and only half damage if you fail. "
Evasive Instinct,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,No Protection,,FALSE,TRUE,Evasive Instinct is a passive feature that increases your defenses so long as you're not wearing armor. ,You have a +1 bonus to  Armour Class and  Saving throws as long as you are not wearing armour or holding a shield. 
Ever Vigilant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Ever Vigilant is a passive feature that grants extra hit points when the user end's their rage intentionally. ,"When the wearer chooses to  End their Rage, they gain  15 temporary hit points. Can only have temporary hit points from one source. "
Exceptional Plate,,,,,,,,,,,,,,,,"Bludgeoning, Piercing, Slashing",2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Exceptional Plate is a passive feature that reduces physical damage significantly. ,"You take 2 less damage from ⁠Slashing, ⁠Piercing and ⁠Bludgeoning sources. "
Exceptional Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Exceptional Training is a Beast Master Ranger passive feature that enhances your companion. They can now take several common actions as bonus actions. ,"Your summoned companions can now  Dash,  Disengage, and  Help as a  Bonus Action. "
Executioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Executioner is a passive feature that lets the wearer critical hit the next target after getting a kill. ,"When you kill a creature, your next Attack roll will be a Critical Hit. Once spent, this effect refreshes after a Long Rest. "
Exoskeletal Endurance,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Exoskeletal Endurance is a passive feature that decreases the damage you take and retaliates against melee attacks. ,"Reduce all incoming damage by 2. When the wearer is struck by a melee attack, the attacker takes Constitution modifier⁠Piercing damage. "
Exoskeletal Reinforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Exoskeletal Reinforcements is passive feature that grants the wearer the ability to pierce resistances to physical attacks. ,"Your attacks ignore Resistance to ⁠Slashing, ⁠Piercing, and ⁠Bludgeoning damage. "
Exotic Material,,,,,,,,,,,,,,,,,,,,DEX,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,"Exotic Material is a passive feature that makes the armor more flexible, and prevents stealth penalties. ","Add your full Dexterity Modifier to your  Armour Class. Additionally, this armour does not impose  Disadvantage on Stealth Ability Checks. "
Experienced And Deadly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIS,Bludgeoning,,FALSE,,,,,,,,,FALSE,TRUE,Experienced And Deadly is a passive feature that boosts the wielder's unarmed strikes by using their wisdom. ,The wearer deals additional damage equal to their  Wisdom Modifier with unarmed strikes. 
Experimental Alchemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,"Experimental Alchemy is a Transmutation School Wizard passive feature that enhances your mastery over alchemy. Whenever you combine extracts, you can brew two solutions instead of one provided you succeed a Medicine check. ","You brew two Alchemical Solutions instead of one when combining extracts, if you succeed a Difficulty Class 15 Medicine Check. "
Expert Divination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Expert Divination is a Divination School Wizard passive feature which grants an additional Portent Die and allows its user to fulfill prophecies to restore any spent Portent Dice each short rest. These prophecies typically entail casting a spell from a specific school or dealing a specific type of damage. ,You gain an additional Portent Die. When taking a Short Rest you receive a set of Prophecies. Complete them to regain missing Portent Dice. 
Expertise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Expertise is a passive feature that allows a character to double their Proficiency bonus on a Skill. ,Choose a Skill you are Proficient in. Your Proficiency Bonus is doubled for any Ability Check you make in that Skill. 
Exploit Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Aura of Murder,1 Turn,,,,,,,TRUE,FALSE,Exploit Weakness is a passive feature that makes targets vulnerable to being pierced. ,Creatures hit with this weapon receive Vulnerability to ⁠Piercing damage. 
Exquisite Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Exquisite Focus is a passive feature that increases your AC as a precaution ,"While concentrating, you add your Spellcasting Modifier to your  Saving throws and gain a +1 bonus to your  Armour Class. "
External Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,External Digestion is a passive feature that allows its user to Devour certain enemies. ,Can  Devour any creature that is  Restrained and steeping in its  Digestive Juices. 
Extinguishing Malice,,Aura of Vile Oblivion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Extinguishing Malice is a passive feature that plunges the surrounding area into darkness. ,Nearby lights are extinguished in the presence of this creature's roiling darkness. 
Extra Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Extra Attack is a passive feature that allows you to make an additional attack when making an Attack Action. ,You can make an additional free attack after making an unarmed or weapon attack. 
Eyes of the Dark,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,"Eyes of the Dark is a passive feature that prevents  Disadvantage when attacking creatures in the dark within 24 m / 80 ft, double the distance of normal  Darkvision. ",You can see in the dark up to 24 m / 80 ft. 
Faceless Masquerade,,,"Deception, Persuasion",,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Faceless Masquerade is a passive feature that enhances the user's deception and persuasion ability. ,You have  Advantage on  Deception Checks and  Persuasion Checks. 
Failsafe Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Failsafe Protocol is a passive feature which grants a creature the ability to self-destruct in an explosion. ,"After losing a significant amount of Hit Points, this creature will begin a  Self-Detonation Protocol to eliminate all nearby threats. If it dies, it instantly  detonates. "
Faithwarden's Stride,,,,,,,,,,,,,,,,,,,,,,,,,,Ensnared,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Faithwarden's Stride is a passive feature that allows the wielder to move through vines unopposed. ,Druidic vines cannot  Ensnare you and do not count as  difficult terrain. 
Fancy Footwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Fancy Footwork is a passive feature available to Swashbuckler rogues which prevents the targets of their melee attacks from taking opportunity attacks against them. ,"If you make a melee attack against a target, that target can't make Opportunity Attacks against you for the rest of your turn. "
Fast Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Fast Hands is a Thief Rogue passive feature that grants an extra Bonus Action ,"You gain an extra  Bonus Action, which you can use with any of your existing Bonus Actions. "
Fast Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Fast Movement is a Barbarian passive feature that increases your Movement Speed by 3m / 10ft while not wearing Heavy Armour. ,Your Movement Speed increases by 3 m / 10 ft while not wearing Heavy Armour. 
Favourable Beginnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,FALSE,Favourable Beginnings is a passive feature and Illithid Power. This feature applies a character's Proficiency Bonus to the first Attack Roll or Ability Check made against a target. ,The first Attack roll or  Ability check you make against any target gains a bonus equal to your Proficiency Bonus. 
Favoured Weapon,,Favoured Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melee,+1,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Favoured Weapon is a passive feature that boosts the wielder's chance to hit and damage. ,This weapon has a +1 bonus to damage and Attack rolls. 
Fear of Wolves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,"Fear of Wolves is one of Shadowheart's passive features. When approaching a lupine creature, she may become Frightened. ","Shadowheart's scalp prickles with fear when she encounters wolves. If she steps within 9 m / 30 ft of a lupine creature, she must make a DC 15 Wisdom  Saving throw or become  Frightened. "
Feline Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Feline Fall is a passive feature in Baldur's Gate 3 that grants a creature the ability to resist falling damage. ,"Due to their natural feline grace, cats are Resistant to Falling damage. "
Feller of Monsters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Feller of Monsters is a passive feature that improves hit chance against Monstrosities. ,You have  Advantage against Monstrosity type enemies. 
Feral Instinct,,,,,,,,,,,,,,,+3,,,,,,,,,,,Surprised,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Feral Instinct is a Barbarian passive feature. The barbarian is always ready for battle and can't be caught off-guard. ,You have honed your instincts to the utmost degree. You gain a +3 to Initiative and can't be Surprised. 
Fervent Flames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Heat,2 Turns,,,,,,,TRUE,FALSE,Fervent Flames is a passive feature that heats up the wearer whenever you take fire damage. ,"Whenever you take ⁠Fire damage dealt by another creature, you gain 2 turns of  Heat. "
Fey Ancestry,,,,,,,,,,,,,,,,,,,,,,,,,,Sleeping,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Fey Ancestry is a passive feature that grants immunity to  Sleep effects and Advantage against  Charm effects. ,"The Feywild casts a veil over your mind. You have  Advantage on  Saving throws against being  Charmed, and magic can't put you to  Sleep. "
Fey Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Fey Life is a passive feature that makes the wearer more likely to survive unconsciousness. ,Makes it easier for the wearer to succeed on death saving throws. 
Feywild Sparks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Feywild Sparks is a passive feature that always triggers a wild magic surge if Tides of Chaos is active. ,"While your sorcerous  Tides of Chaos feature is active, you will always trigger  Wild Magic when casting spells. "
Fiendish Blessing,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Fiendish Blessing is a Cambion passive feature that grants them an increase to their Armour Class. ,"Protected by the blood of their fiendish ancestors, cambions have a +2 bonus to their Armour Class. "
Fiendish Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Faerie Fire,1 Turn,13,DEX,,,,,TRUE,FALSE,Fiendish Fire is a passive feature that can reveal enemies and make them easier to hit. ,"Once per turn, a creature hit by this weapon will possibly be afflicted with  Faerie Fire. "
Fiendish Vigour,,,,,,,,,,,,,,,,,,,,,,,False Life,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Fiendish Vigour is an Eldritch Invocation from the Warlock class. It allows the wearer protect themselves with extra Temporary Hit Points. ,"You can cast  False Life on yourself at will as a 1st-level spell, without expending a Spell Slot. False Life grants you  7 temporary hit points. "
Fiery Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"Extra Bonus Action,Burning",1 Turn,,,,,,,TRUE,FALSE,Fiery Return is a passive feature that grants extra bonus actions when you deal fire damage with a leveled spell. ,"When you deal ⁠Fire damage with a levelled spell, you  Burn yourself and gain an additional  Bonus Action this round. "
Fire Acuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Arcane Acuity,2 Turns,,,,,,,TRUE,FALSE,Fire Acuity is a passive feature that increases your spell power after dealing fire damage. ,"Whenever you deal ⁠Fire damage, you gain  Arcane Acuity for 2 turns. "
First Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Bleeding,2 Turns,,,,,,,TRUE,FALSE,First Blood is a passive feature that causes targets to bleed. ,"On a hit, inflict  Bleeding upon targets that have maximum Hit Points. "
Fishfolk Faithful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Bleeding,1 Turn,10,CON,,,,,TRUE,FALSE,Fishfolk Faithful is a passive feature obtainable by the  Invigorating Fanaticism condition. ,Chance to apply Bleeding to targets. 
Fit to Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Fit to Burst is a Passive Feature available only to Intellect Gluttons. It uses this ability to explode when it dies. ,"When the intellect glutton dies, it bursts in a  Morphic Brine Explosion. "
Flames of Avernus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Flame-Feeble,3 Turns,,,,,,,TRUE,FALSE,Flames of Avernus is a passive feature that makes their targets vulnerable to Fire damage. ,This merregon's attacks make a target  Flame-Feeble. 
Flaming Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Flaming Revenge is a passive feature that raises combat abilities. ,"On a successful  Saving throw against a foe's spell, deal 1d4 + proficiency bonus⁠Fire damage to them. "
Flaming Shroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Burning,2 Turns,12,DEX,,,,,TRUE,FALSE,Flaming Shroud is a passive feature that burns enemies that damage the wearer. ,A creature that damages the wearer within  2 m / 7 ft receives  Burning. 
Flurry of Moths,,,,,,,,,,,,,,,,,,,,,,"Flurry of Moths: Attack, Flurry of Moths: Blinding Swarm, Flurry of Moths: Teleport",,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Flurry of Moths is passive feature available to Swarmkeepers. It turns the Gathered Swarm into moths that deal ⁠Psychic damage and can blind enemies. This feature can be switched out at level up. ,"You gain a swarm of moths that fights on your side. Once per round, the swarm can assist you in one of three ways after you attack an enemy: it can attack and deal additional ⁠Psychic damage,  Blind your enemy, or teleport you to a safer location. At higher levels At level 11,  Mighty Swarm upgrades the swarm options to: "
Fly Trap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Ensnared,2 Turns,12,STR,,,,,TRUE,FALSE,Fly Trap is a passive feature that attempts to prevent a target from moving. ,Chance to  Ensnare target if it is not a plant or a beast. 
Flying Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Flying Strike,1 Turn,,,,,,,FALSE,TRUE,"Flying Strike is a passive feature that enhances the user's damage when they fly, if they are a githyanki. ","When a githyanki casts  Fly, their next melee weapon attack deals an additional 1d4⁠Psychic damage. "
Focused Conjuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Focused Conjuration is a Conjuration School Wizard passive feature prevents you from losing concentration on Conjuration spells. ,Damage taken while you are Concentrating on a Conjuration spell will not break your  Concentration. Conjuration Wizard Spells that require Concentrating: 
Focused Stride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"Momentum,Unmovable",1 Turn,,,,,,,TRUE,FALSE,"Focused Stride is a passive feature that prevents the wearer from being moved against their will, or being knocked prone. ","When you cast a spell that requires  Concentration, you gain  Momentum for 1 turn. While you are concentrating, you cannot be knocked  Prone or moved against your will. "
Fond Caress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Fond Caress is a passive feature allowing the ring wearer to receive a defensive bonus. ,"One of a magical pair of rings, this allows the wearer to receive  Warding Bond from a creature wearing the  matching ring. "
Font of Inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Font of Inspiration is a Bard passive feature that causes you to regain all of your  Bardic Inspiration Charges after a Long or Short Rest. ,You regain all of your  Bardic Inspirations after a Long or Short Rest. 
Forbidden Knowledge,,,"Animal Handling, Insight, Medicine, Perception, Survival",+1,,WIS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Forbidden Knowledge is a permanent passive feature granted by the Necromancy of Thay that increases a character's Wisdom Saving Throws and Ability checks by +1. ,"From partially deciphering the  Necromancy of Thay, you gain a +1 bonus to Wisdom Saving Throws and Ability Checks. "
Auntie Ethel's Boon (Strength),,,,,,,,,STR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Auntie Ethel's Hair is a common item that can be used to permanently increase a character's Ability Score by 1. The player character must choose which ability score the hair will increase when receiving it.,Eating Ethel's airy scalp has granted you a permanent boost to Strength.
Auntie Ethel's Boon (Dexterity),,,,,,,,,DEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Auntie Ethel's Hair is a common item that can be used to permanently increase a character's Ability Score by 1. The player character must choose which ability score the hair will increase when receiving it.,Eating Ethel's airy scalp has granted you a permanent boost to Dexterity.
Auntie Ethel's Boon (Constitutionh),,,,,,,,,CON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Auntie Ethel's Hair is a common item that can be used to permanently increase a character's Ability Score by 1. The player character must choose which ability score the hair will increase when receiving it.,Eating Ethel's airy scalp has granted you a permanent boost to Constitution.
Auntie Ethel's Boon (Intelligence),,,,,,,,,INT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Auntie Ethel's Hair is a common item that can be used to permanently increase a character's Ability Score by 1. The player character must choose which ability score the hair will increase when receiving it.,Eating Ethel's airy scalp has granted you a permanent boost to Intelligence.
Auntie Ethel's Boon (Wisdom),,,,,,,,,WIS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Auntie Ethel's Hair is a common item that can be used to permanently increase a character's Ability Score by 1. The player character must choose which ability score the hair will increase when receiving it.,Eating Ethel's airy scalp has granted you a permanent boost to Wisdom.
Auntie Ethel's Boon (Charisma),,,,,,,,,CHA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Auntie Ethel's Hair is a common item that can be used to permanently increase a character's Ability Score by 1. The player character must choose which ability score the hair will increase when receiving it.,Eating Ethel's airy scalp has granted you a permanent boost to Charisma.
Force Absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Force Conduit,2 Turns,,,,,,,TRUE,FALSE,Force Absorption is a passive feature that increases your defenses as you get hit. ,"Gain 2 turns of  Force Conduit when taking ⁠Slashing, ⁠Piercing, or ⁠Bludgeoning damage. "
Forest I,,,,,,,,,,,,,,,,,,,,,,,"Barkskin, Hold Person",,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Forest is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels ,You can cast  Barkskin and  Hold Person. At higher levels You can cast  Call Lightning and  Plant Growth. You can cast  Conjure Minor Elemental and  Grasping Vine. You can cast  Mass Cure Wounds and  Contagion. 
Forest II,,,,,,,,,,,,,,,,,,,,,,,"Call Lightning, Plant Growth",,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Forest is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels ,You can cast  Barkskin and  Hold Person. At higher levels You can cast  Call Lightning and  Plant Growth. You can cast  Conjure Minor Elemental and  Grasping Vine. You can cast  Mass Cure Wounds and  Contagion. 
Forest III,,,,,,,,,,,,,,,,,,,,,,,"Conjure Minor Elemental, Grasping Vine",,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Forest is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels ,You can cast  Barkskin and  Hold Person. At higher levels You can cast  Call Lightning and  Plant Growth. You can cast  Conjure Minor Elemental and  Grasping Vine. You can cast  Mass Cure Wounds and  Contagion. 
Forest IV,,,,,,,,,,,,,,,,,,,,,,,"Mass Cure Wounds, Contagion",,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Forest is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels ,You can cast  Barkskin and  Hold Person. At higher levels You can cast  Call Lightning and  Plant Growth. You can cast  Conjure Minor Elemental and  Grasping Vine. You can cast  Mass Cure Wounds and  Contagion. 
Forest Aegis,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,"Forest Aegis is a passive feature that grants the user  Barkskin, setting their AC to 16. It’s not active while in  Wild Shape. ","You are invested with the power of the meadows and woods of the land, and have the effect of  Barkskin, increasing your  Armour Class to 16. "
Forever Indebted,,,,,,,,,,,,,,,,,,,,,,Forever Indebted,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,"Forever Indebted is a passive feature available to various debtors in the House of Hope. When damaged the user detonates, creating a big explosion and summoning a random fiendish creature. ","A debt to Raphael must be paid - even in death. Upon dying, the debtor explodes in damaging flames and is reincarnated as a fiendish creature bound to Raphael. "
Formless Slaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Formless Slaughter is a passive feature that enhances the user's combat while the user is transformed. ,You gain a +1 to Attack and Damage rolls while shapeshifting or disguised. 
Frantic Urgency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Momentum,1 Turn,,,,,,,TRUE,FALSE,Frantic Urgency is a passive feature that grants increased movement when severely injured. ,"During combat, when the wearer starts their turn with 50% Hit Points or less, they gain  Momentum for 1 turn. "
Freecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,FALSE,"Freecast is a toggleable passive feature and a power available to Partial-Illithids. It allows them to bypass the normal expenditure of spell slots, charges or other similar resource costs for their next chosen  Action, once per Long Rest. ","You have discovered a marvellous adaptability within yourself. Spell slots, charges, and similar resource costs for your next action or spell are removed. Refreshes after a Long Rest. "
Frightened Immunity,,,,,,,,,,,,,,,,,,,,,,,,,,Frightened,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Frightened Immunity is a passive feature that keeps the wearer brave. ,You can't be  Frightened 
Fungal Resistance,,Fungal Resistance,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Fungal Resistance is a passive feature affecting Pearlspore Bell. It provides a passive buff to Auntie Ethel when alive. ,A Pearlspore Bell grants the hag +5 bonus to all Saving Throws. 
Fury In The Marrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Fury In The Marrow is a passive feature that damages enemies when you rage. ,"When you  Rage, hostile creatures in a  3 m / 10 ft radius must succeed a Weapon action DC  Wisdom saving throw or take 2d4⁠Psychic damage. The targets receive half damage on a save. "
