Name,Image,Location,Type,Rarity,Armour Type,Weight,Cost,AC,AC Mod,AC Bonus,No Crit,Resistances,Vulnerability,Skill,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Spells,Level,Recharge,Features,Ability,Ability Bonus,Max Ability,AR Types,AR Bonus,AR Factor,Movement,Conditions,Act,Description,,Armour,Armour|Clothing,Headwear,Footwear,Cloak,Ring,Amulet,Shield,Handwear
Chain Mail,,,Armour,Common,Heavy,18.0kg,130,16,,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Chain Mail is a common Heavy Armour.,,Chain Mail,Chain Mail,Shar Headwear,,,,,,Hr'a'cknir Bracers
Plate Armour,,,Armour,Common,Heavy,20.0kg,400,18,,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Plate Armour is a common Heavy Armour.,,Plate Armour,Plate Armour,Triumphal Helm,,,,,,Quickspell Gloves
Ring Mail Armour,,,Armour,Common,Heavy,17.0kg,100,14,,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Ring Mail Armour is a common Heavy Armour.,,Ring Mail Armour,Ring Mail Armour,Watch's Helmet,,,,,,Spellmight Gloves
Splint Armour,,,Armour,Common,Heavy,19.0kg,240,17,,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Splint Armour is a common Heavy Armour.,,Splint Armour,Splint Armour,Well Crated Helm,,,,,,Gloves of Soul Catching
Chain Mail +1,,,Armour,Uncommon,Heavy,18.0kg,260,17,,,FALSE,,,Stealth,,DIS,,,,,,,Superior Material (-1),,,,,,,,,,Chain Mail +1 is an uncommon Heavy Armour that reduces Slashing damage.,,Chain Mail +1,Chain Mail +1,Dark Justiciar Helm,,,,,,Metallic Gloves
Plate Armour +1,,,Armour,Uncommon,Heavy,20.0kg,800,19,,,FALSE,,,Stealth,,DIS,,,,,,,Superior Plate (-1),,,,,,,,,,Plate Armour +1 is an uncommon Heavy Armour that reduces Piercing damage.,,Plate Armour +1,Plate Armour +1,Helmet of Smiting,,,,,,Blackguard's Gauntlets
Protective Plate,,,Armour,Uncommon,Heavy,20.0kg,1000,18,,,FALSE,Necrotic,,,,,,,,,,,,,,,,,,,,2,Protective Plate is a set of Heavy Armour that grants Resistance to Necrotic damage.,,Protective Plate,Protective Plate,Holy Lance Helm,,,,,,Gauntlets of Surging Accuracy
Ring Mail Armour +1,,,Armour,Uncommon,Heavy,17.0kg,200,15,,,FALSE,,,Stealth,,DIS,,,,,,,Body Aid,,,,,,,,,,Ring Mail Armour +1 is a uncommon Heavy Armour that grants a +1 bonus to Strength Saving Throws and Ability Checks.,,Ring Mail Armour +1,Ring Mail Armour +1,Flawed Helldusk Helmet,,,,,,Unwanted Masterwork Gauntlets
Splint Armour +1,,,Armour,Uncommon,Heavy,19.0kg,480,18,,,FALSE,,,Stealth,,DIS,,,,,,,Superior Plate (-1),,,,,,,,,,Splint Armour +1 is a uncommon Heavy Armour that reduces Piercing damage by 1.,,Splint Armour +1,Splint Armour +1,Steelwatcher Helmet,,,,,,Gauntlets of the Warmaster
Armour of Devotion,,,Armour,Rare,Heavy,20.0kg,3200,18,,,FALSE,,,Stealth,,DIS,,,,Eternal Devotion,,Long Rest,,,,,,,,,,2,"Armour of Devotion is a set of rare Full Plate Heavy Armour that allows the wearer to cast Eternal Devotion, restoring a charge of their Paladin Channel Oath ability.",,Armour of Devotion,Armour of Devotion,Dark Justiciar Helmet,,,,,,Legacy of the Masters
Cerebral Citadel Armour,,,Armour,Rare,Heavy,20.0kg,3200,18,,,FALSE,,,Stealth,,DIS,,,,,,,"Frightened Immunity, Illithid Protection",,,,,,,,,3,"Cerebral Citadel Armour is a rare Heavy Armour that makes the wearer immune to being Frightened and gives a +1 bonus to all Intelligence, Wisdom, and Charisma saving throws if the wearer is infested by a mind flayer tadpole.",,Cerebral Citadel Armour,Cerebral Citadel Armour,Sarevok's Horned Helmet,,,,,,The Reviving Hands
Chain Mail +2,,,Armour,Rare,Heavy,18.0kg,770,18,,,FALSE,,,Stealth,,DIS,,,,,,,Superior Material (-2),,,,,,,,,,Chain Mail +2 is a rare Heavy Armour that reduces Slashing damage by 2.,,Chain Mail +2,Chain Mail +2,Helm of Balduran,,,,,,
Dwarven Splintmail,,,Armour,Rare,Heavy,19.0kg,1900,19,,,FALSE,,,Stealth,,DIS,,,,,,,"Superior Plate (-1), Body Aid",CON,2,20,,,,,,2,"Dwarven Splintmail is a rare heavy armour that reduces Piercing damage by 1 and grants a +1 bonus to Strength Saving Throws and Ability Checks. In addition, it also boosts the user's Constitution by 2.",,Dwarven Splintmail,Dwarven Splintmail,Grymskull Helm,,,,,,
Flawed Helldusk Armour,,,Armour,Rare,Heavy,20.0kg,3200,18,,,FALSE,,,Stealth,,DIS,,,,,,,"Lesser Infernal Retribution, Superior Plate (-1)",,,,,,,,,2,Flawed Helldusk Armour is a rare Heavy Armour that reduces Piercing damage by 1 and possibly deals 1d4 Fire damage to attackers.,,Flawed Helldusk Armour,Flawed Helldusk Armour,,,,,,,
Plate Armour +2,,,Armour,Rare,Heavy,20.0kg,2400,20,,,FALSE,,,Stealth,,DIS,,,,,,,Exceptional Plate,,,,,,,,,,"Plate Armour +2 is a rare Heavy Armour that reduces damage from Piercing, Bludgeoning and Slashing sources by 2.",,Plate Armour +2,Plate Armour +2,,,,,,,
Ring Mail Armour +2,,,Armour,Rare,Heavy,17.0kg,600,16,,,FALSE,,,Stealth,,DIS,,,,,,,"Superior Material (-1), Body Aid",,,,,,,,,,Ring Mail Armour +2 is a rare Heavy Armour that reduces Slashing damage by 1 and grants a +1 bonus to Strength Saving Throws and Ability Checks.,,Ring Mail Armour +2,Ring Mail Armour +2,,,,,,,
Rippling Force Mail,,,Armour,Rare,Heavy,18.0kg,1000,17,,,FALSE,,,Stealth,,DIS,,,,,,,Force Absorption,,,,,,,,,2,Rippling Force Mail is a rare Heavy Armour that reduces physical damage taken and causes its wearer to deal force damage around them after being struck with physical attacks enough times.,,Rippling Force Mail,Rippling Force Mail,,,,,,,
Splint Armour +2,,,Armour,Very Rare,Heavy,19.0kg,1450,19,,,FALSE,,,Stealth,,DIS,,,,,,,"Body Aid, Superior Plate (-1)",,,,,,,,,1,Splint Armour +2 is a rare Heavy Armour that reduces Piercing damage by 1 and grants a +1 bonus to Strength Saving Throws and Ability Checks.,,Splint Armour +2,Splint Armour +2,,,,,,,
Adamantine Splint Armour,,,Armour,Very Rare,Heavy,19.0kg,3800,18,,,TRUE,,,Stealth,,DIS,,,,,,,"Magical Plate (-2), Intense Adamantine Backlash",,,,,,,,,1,"Adamantine Splint Armour is a very rare Heavy Armour that reduces all incoming damage by 2 and sends attackers Reeling. In addition, attacks can't land critical hits on the wearer.",,Adamantine Splint Armour,Adamantine Splint Armour,,,,,,,
Armour of Persistence,,,Armour,Very Rare,Heavy,20.0kg,6400,20,,,FALSE,,,Stealth,,DIS,,,,,,,"Magical Plate (-2), Legendary Persistence",,,,,,,,,3,Armour of Persistence is a very rare Armour that grants its wearer permanent Resistance and Blade Ward effects in addition to reducing all damage taken by 2.,,Armour of Persistence,Armour of Persistence,,,,,,,
Blackguard's Plate,,,Armour,Very Rare,Heavy,20.0kg,6400,19,,,FALSE,,,Stealth,,DIS,WIS,,ADV,,,,Magical Plate (-1),,,,,,,,,3,Blackguard's Plate is a very rare Heavy Armour that reduces all incoming damage by 1 and grants Advantage on Wisdom Saving Throws.,,Blackguard's Plate,Blackguard's Plate,,,,,,,
Emblazoned Plate of the Marshal,,,Armour,Very Rare,Heavy,20.0kg,6400,19,,,FALSE,,,Stealth,,DIS,,,,Fire Shield,4,Long Rest,"Magical Plate (-2), Endurance by Fire",,,,,,,,,3,"Emblazoned Plate of the Marshal is a very rare Heavy Armour that reduces all damage by 2, grants Fire Resistance, and the ability to cast Fire Shield.",,Emblazoned Plate of the Marshal,Emblazoned Plate of the Marshal,,,,,,,
Reaper's Embrace,,,Armour,Very Rare,Heavy,20.0kg,6400,19,,,FALSE,,,Stealth,,DIS,,,,Howl of the Dead,,Short Rest,"Reaper's Rigidity, Magical Plate (-2)",,,,,,,,,2,Reaper's Embrace is a very rare heavy Armour that reduces incoming damage by 2 and makes the wearer immune to being moved by force. It also grants the Howl of the Dead class action.,,Reaper's Embrace,Reaper's Embrace,,,,,,,
Helldusk Armour,,,Armour,Story Item,Heavy,20.0kg,8000,21,,,FALSE,,,,,,,,,Fly (bonus action),3,,"Helldusk Armour, Infernal Retribution, Prime Aegis of Fire",,,,,,,,,3,"Helldusk Armour is a legendary heavy Armour which can be worn without any proficiency. It grants Fire resistance, reduces damage by 3 from all sources, and grants the Fly spell.",,Helldusk Armour,Helldusk Armour,,,,,,,
Devilfoil Mask,,,Headwear,Common,Non-Armour,0.5kg,50,,,,FALSE,,,,,,,,,,,,Infernal Legion,,,,,,,,,1,"A Devilfoil Mask is a common Helmet worn by Merregons that increases the wearer's Strength by 1 and decreases the wearer's Intelligence, Wisdom, and Charisma by 1 per nearby mask.",,,Simple Robe,,,,,,,
Whispering Mask,,,Headwear,Common,Non-Armour,0.5kg,1,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Whispering Mask is a common Helmet with connections to Auntie Ethel.,,,Barbarian Clothes,,,,,,,
Browbeaten Circlet,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,,,,,,,,,,Browbeaten,,,,,,,,,2,Browbeaten Circlet is an uncommon piece of Headwear that grants the wearer a bonus to spell save DC while being threatened.,,,Armour of Uninhibited Kushigo,,,,,,,
Cap of Curing,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,,,,,,,,,,Soothing Songs,,,,,,,,,1,The Cap of Curing is an uncommon Hat that heals those inspired by the wearer using Bardic Inspiration.,,,Bided Time,,,,,,,
Coldbrim Hat,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,,,,,,,,,,Coldbrim Chill,,,,,,,,,2,"Coldbrim Hat is an uncommon Hat where, once per turn, if a condition is inflicted on the target, the hat also applies 2 turns of  Encrusted with Frost.",,,Bloodguzzler Garb,,,,,,,
Hat of Fire Acuity,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,,,,,,,,,,Fire Acuity,,,,,,,,,2,Hat of Fire Acuity is an uncommon hat that grants the wearer  Arcane Acuity whenever they deal Fire damage.,,,Cloth Armour,,,,,,,
Hat of Storm Scion's Power,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,,,,,,,,,,Thunderous Acuity,,,,,,,,,2,Hat of Storm Scion's Power is an uncommon hat that grants  Arcane Acuity whenever the wearer deals ⁠Thunder damage.,,,Poisoner's Robe,,,,,,,
Key of the Ancients,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,Nature,1,,,,,,,,,,,,,,,,,1,This version of the Key of the Ancients is a story rarity Helmet which grants the wearer a bonus to Nature checks.,,,Robe,,,,,,,
Marksmanship Hat,,,Headwear,Uncommon,Non-Armour,0.5kg,24,,,,FALSE,,,,,,,,,,,,Marksmanship,,,,,,,,,2,Marksmanship Hat is an uncommon hat that grants its wearer a bonus to ranged and thrown attack rolls.,,,Robe of Summer,,,,,,,
The Lifebringer,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,,,,,,,,,,Lifecharger,,,,,,,,,1,The Lifebringer is an uncommon circlet which grants the wearer temporary hit points whenever they gain Lightning Charges.,,,Cloth of Authority,,,,,,,
The Shadespell Circlet,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,,,,,,,,,,Shadespell,,,,,,,,,1,The Shadespell Circlet is an uncommon Helmet that grants a bonus to Spell Save DC when the wearer is obscured in shadow.,,,Drunken Cloth,,,,,,,
Wapira's Crown,,,Headwear,Uncommon,Non-Armour,0.5kg,90,,,,FALSE,,,,,,,,,,,,Crowning Glory,,,,,,,,,1,Wapira's Crown is an uncommon Helmet that heals the wearer whenever they heal another creature.,,,Enraging Heart Garb,,,,,,,
Warped Headband of Intellect,,,Headwear,Uncommon,Non-Armour,0.5kg,250,,,,FALSE,,,,,,,,,,,,,INT,17,17,,,,,,1,The Warped Headband of Intellect is an uncommon Circlet that raises the wearer's Intelligence to 17.,,,Garb of the Land and Sky,,,,,,,
Cap of Wrath,,,Headwear,Rare,Non-Armour,0.5kg,640,,,,FALSE,,,,,,,,,,,,Last Stand,,,,,,,,,1,The Cap of Wrath is a rare Helmet that grants the wearer  Wrath when they start the turn with 50% Hit Points or less.,,,Icebite Robe,,,,,,,
Circle of Bones,,,Headwear,Rare,Non-Armour,0.5kg,240,,,,FALSE,,,,,,,,,Animate Dead,3,Long Rest,Undead Ward,,,,,,,,,2,"Circle of Bones is a rare Circlet that grants all nearby allied undead Resistance to physical damage, and the wearer can cast Animate Dead once per Long Rest.",,,Mutilated Carapace,,,,,,,
Circlet of Blasting,,,Headwear,Rare,Non-Armour,0.5kg,300,,,,FALSE,,,,,,,,,Scorching Ray,2,Long Rest,,,,,,,,,,1,The Circlet of Blasting is a rare circlet that grants the wearer the ability to cast the Scorching Ray spell.,,,Obsidian Laced Robe,,,,,,,
Circlet of Mental Anguish,,,Headwear,Rare,Non-Armour,0.5kg,240,,,,FALSE,,,,,,,,,,,,Psychic Leech,,,,,,,,,2,"The Circlet of Mental Anguish is a rare Circlet that heals the wearer for 1d4 hit points when an enemy fails a Charisma, Intelligence, or Wisdom Saving Throw against one of the wearer's spells or cantrips.",,,Robe of Exquisite Focus,,,,,,,
Circlet of Psionic Revenge,,,Headwear,Rare,Non-Armour,0.5kg,240,,,,FALSE,,,,,,,,,,,,Psionic Revenge,,,,,,,,,2,The Circlet of Psionic Revenge is a rare Circlet which allows Gith to enhance their saving throws and punish casters with psychic damage.,,,Shelter of Athkatla,,,,,,,
Diadem of Arcane Synergy,,,Headwear,Rare,Non-Armour,0.5kg,240,,,,FALSE,,,,,,,,,,,,Synergetic Moments,,,,,,,,,2,The Diadem of Arcane Synergy is a rare circlet that grants  Arcane Synergy when the wearer inflicts a condition.,,,The Graceful Cloth,,,,,,,
Fistbreaker Helm,,,Headwear,Rare,Non-Armour,0.5kg,60,,,,FALSE,,,,,,,,,,,,"High Spellcasting (+1), Seldom Caught Unawares (Fistbreaker Helm)",,,,,,,,,2,Fistbreaker Helm is an rare Helmet that grants a +1 bonus to Spell Save DC and +1 to Initiative Rolls.,,,The Mighty Cloth,,,,,,,
Gibus of the Worshipful Servant,,,Headwear,Rare,Non-Armour,0.5kg,35,,,,FALSE,,,,,,,,,,,,"Lickspittle's Alertness, Multitasking",,,,,,,,,3,Gibus of the Worshipful Servant is a rare Headwear which grants  Momentum equal to the wearer's Charisma Modifier at the start of combat and Advantage on Concentration Saving Throws.,,,The Protecty Sparkswall,,,,,,,
Haste Helm,,,Headwear,Rare,Non-Armour,0.5kg,240,,,,FALSE,,,,,,,,,,,,Smooth Start,,,,,,,,,1,The Haste Helm is a rare helmet that grants the wearer a burst of speed at the start of combat.,,,Viconia's Priestess Robe,,,,,,,
Hat of the Sharp Caster,,,Headwear,Rare,Non-Armour,0.5kg,50,,,,FALSE,,,,,,,,,,,,Sharp Caster,,,,,,,,,3,The Hat of the Sharp Caster is a rare Helmet that rerolls the die(s) on spell damage rolls if they are a 1 or 2.,,,Bonespike Garb,,,,,,,
Hat of Uninhibited Kushigo,,,Headwear,Rare,Non-Armour,0.5kg,240,,,,FALSE,,,,,,,,,,,,Lay Bare Their Weakness,,,,,,,,,2,The Hat of Uninhibited Kushigo is a rare hat that grants +1 bonus to their Spell Save DC after dealing damage with an unarmed attack.,,,Infernal Robe,,,,,,,
Scabby Pugilist Circlet,,,Headwear,Rare,Non-Armour,0.5kg,120,,,,FALSE,,,,,,,,,,,,Martial Bravery,,,,,,,,,3,The Scabby Pugilist Circlet is a rare Helmet that grants additional damage on weapon and unarmed strikes while surrounded by 2 or more foes.,,,Moon Devotion Robe,,,,,,,
The Pointy Hat,,,Headwear,Rare,Non-Armour,0.5kg,35,,,,FALSE,,,,,,,,,,,,Glorious Pointy Hat,,,,,,,,,3,The Pointy Hat is a rare hat that gives the wearer a bonus to their persuasion checks equal to their Intelligence modifier.,,,Potent Robe,,,,,,,
Assassin of Bhaal Cowl,,,Headwear,Very Rare,Non-Armour,0.5kg,450,,,,FALSE,,,,,,,,,See Invisibility,2,Short Rest,Murderous Sight,,,,,,,,,3,Assassin of Bhaal Cowl is a very rare Helmet which grants a bonus to  Initiative. It also allows the wearer to see in the dark and cast See Invisibility.,,,Robe of Supreme Defences,,,,,,,
Birthright,,,Headwear,Very Rare,Non-Armour,0.5kg,410,,,,FALSE,,,,,,,,,,,,,CHA,2,22,,,,,,3,"Birthright is a very rare Headwear that gives the wearer Charisma +2, up to a maximum of 22.",,,Robe of the Weave,,,,,,,
Bonespike Helmet,,,Headwear,Very Rare,Non-Armour,0.5kg,450,,,,FALSE,,,Intimidation,2,,,,,Menacing Attack (Melee),,Per Turn,Fury In The Marrow,,,,,,,,,3,"Bonespike Helmet is a very rare Helmet. If the wearer rages, the helmet forces all hostile creatures within a 3m radius to roll a wisdom saving throw. If failing this roll, they take 2-8 Psychic damage; a successful roll results in half damage.",,,Veil of the Morning,,,,,,,
Circlet of Hunting,,,Headwear,Very Rare,Non-Armour,0.5kg,230,,,,FALSE,,,,,,,,,,,,Hunter's Eye,,,,,,,,,3,The Circlet of Hunting is a very rare circlet which grants a +1d4 bonus to Attack Rolls against marked creatures.,,,Vest of Soul Rejuvenation,,,,,,,
Helldusk Helmet,,,Headwear,Very Rare,Non-Armour,1.0kg,570,,,,TRUE,,,,,,,,,Immolating Gaze,,Short Rest,"Infernal Sight, Magical Durability (Helldusk Helmet)",,,,,,,,,3,"Helldusk Helmet is a very rare Headwear. It grants the wearer the ability to see in magical darkness, and they cannot be blinded. They also gain a +2 bonus to saving throws against spells and can use  Immolating Gaze to frighten enemies.",,,Wavemother's Robe,,,,,,,
Hood of the Weave,,,Headwear,Very Rare,Non-Armour,0.5kg,1450,,,,FALSE,,,,,,,,,,,,Arcane Enchantment (+2),,,,,,,,,3,Hood of the Weave is a very rare Helmet that boosts its wearer's Spell Save DC and Spell Attack rolls by 2.,,,,,,,,,,
Horns of the Berserker,,,Headwear,Very Rare,Non-Armour,0.5kg,230,,,,FALSE,,,,,,,,,,,,"Seeking Blood, Blood Thirst",,,,,,,,,3,"Horns of the Berserker is a very rare Helmet which grants a +2 bonus to Attack Rolls against damaged creatures, and an extra 2⁠⁠Necrotic damage to melee hits made while damaged.",,,,,,,,,,
Jannath's Hat,,,Headwear,Very Rare,Non-Armour,0.5kg,450,,,,FALSE,,,"Deception, Persuasion",,ADV,,,,,,,,,,,,,,,,3,Jannath's Hat is a very rare headwear that gives advantage to persuasion and deception checks.,,,,,,,,,,
Mask of Soul Perception,,,Headwear,Very Rare,Non-Armour,0.5kg,1300,,,,FALSE,,,,,,,,,Detect Thoughts,2,Short Rest,Soul Perception,,,,,,,,,3,"Mask of Soul Perception is a very rare Helmet that increases a wearer's Attack Rolls, Initiative Rolls, and Perception Checks by 2. The wearer can also cast Detect Thoughts once per Short Rest.",,,,,,,,,,
Pyroquickness Hat,,,Headwear,Very Rare,Non-Armour,0.5kg,160,,,,FALSE,,,,,,,,,,,,Fiery Return,,,,,,,,,3,"Pyroquickness Hat is a very rare Hat that burns the wearer when casting a Fire spell, but also grants them an extra Bonus Action.",,,,,,,,,,
Shapeshifter Hat,,,Headwear,Story Item,Non-Armour,0.5kg,70,,,,FALSE,,,Nature,1,,,,,,,,Nature's Embrace,,,,,,,,,3,Shapeshifter Hat is a very rare Headwear that grants the wearer one more Wild Shape charge per Long Rest.,,,,,,,,,,
Mask of the Shapeshifter,,,Headwear,Story Item,Non-Armour,0.5kg,1,,,,FALSE,,,,,,,,,Disguise Self,1,Per Turn,,,,,,,,,,1,Mask of the Shapeshifter is a legendary Mask that allows the wearer to cast Disguise Self at will.,,,,,,,,,,
Key of the Ancients,,,Headwear,Story Item,Non-Armour,0.5kg,90,,,,FALSE,,,Nature,1,,,,,,,,,,,,,,,,,1,This version of the Key of the Ancients is a story rarity Helmet which grants the wearer a bonus to Nature checks.,,,,,,,,,,
Angelic Plume Helmet,,,Headwear,Common,Light,0.5kg,25,,,,FALSE,,,,,,DEX,1,,,,,,,,,,,,,,,An Angelic Plume Helmet is a common Helmet.,,,,,,,,,,
Frayed Drow Hood,,,Headwear,Common,Light,0.5kg,25,,,,FALSE,,,,,,DEX,1,,,,,,,,,,,,,,,A Frayed Drow Hood is a common Helmet.,,,,,,,,,,
Leather Helmet,,,Headwear,Common,Light,0.5kg,25,,,,FALSE,,,,,,DEX,1,,,,,,,,,,,,,,,A Leather Helmet is a common Helmet.,,,,,,,,,,
Leatherstring Helmet,,,Headwear,Common,Light,0.5kg,25,,,,FALSE,,,,,,DEX,1,,,,,,,,,,,,,,,A Leatherstring Helmet is a common Helmet.,,,,,,,,,,
Red Carmine Mask,,,Headwear,Common,Light,0.5kg,25,,,,FALSE,,,,,,DEX,1,,,,,,,,,,,,,,,A Red Carmine Mask is a common Helmet.,,,,,,,,,,
Rich Arcanist Helmet,,,Headwear,Common,Light,0.5kg,25,,,,FALSE,,,,,,DEX,1,,,,,,,,,,,,,,,A Rich Arcanist Helmet is a common Helmet.,,,,,,,,,,
Scorpion Helmet,,,Headwear,Common,Light,0.5kg,25,,,,FALSE,,,,,,DEX,1,,,,,,,,,,,,,,,Scorpion Helmet is a common Helmet.,,,,,,,,,,
Covert Cowl,,,Headwear,Uncommon,Light,0.5kg,70,,,,FALSE,,,,,,DEX,1,,,,,Covert Critical,,,,,,,,,2,Covert Cowl is an uncommon Helmet that makes the wearer's critical hits more likely when they are obscured.,,,,,,,,,,
Dark Justiciar Mask,,,Headwear,Uncommon,Light,0.3kg,210,,,,FALSE,,,Intimidation,1,,,,,,,,,,,,,,,,,1,Dark Justiciar Mask is an uncommon Helmet that grants the wearer a bonus to Intimidation checks.,,,,,,,,,,
Helmet of Arcane Acuity,,,Headwear,Uncommon,Light,0.5kg,70,,,,FALSE,,,,,,DEX,1,,,,,Battle Acuity,,,,,,,,,2,The Helmet of Arcane Acuity is an uncommon Helmet that imparts Arcane Acuity upon the wearer when they deal damage with a weapon attack.,,,,,,,,,,
Helmet of Autonomy,,,Headwear,Uncommon,Light,0.5kg,70,,,,FALSE,,,,,,WIS,PRO,,,,,,,,,,,,,,1,The Helmet of Autonomy is an uncommon Helmet that grants the wearer Proficiency in Wisdom Saving Throws.,,,,,,,,,,
Shadow of Menzoberranzan,,,Headwear,Rare,Light,0.5kg,190,,,,FALSE,,,,,,,,,Shrouded in Shadow,,Short Rest,,,,,,,,,,1,The Shadow of Menzoberranzan is a rare Helmet that allows the wearer to use Shrouded in Shadow to become Invisible.,,,,,,,,,,
Helmet of Grit,,,Headwear,Very Rare,Light,0.5kg,360,,,,FALSE,,,,,,DEX,1,,,,,Grit,,,,,,,,,3,The Helmet of Grit is a very rare Helmet. It grants the wearer an additional Bonus Action at 50% or lower Hit Points.,,,,,,,,,,
Adjustable Steel Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,Adjustable Steel Helm is a common Helmet.,,,,,,,,,,
Blackplume Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,"Blackplume Helm is a common Helmet, it provides minimal bonuses to a character but may be worn of aesthetic reasons.",,,,,,,,,,
Blaze Portyr's Ceremonial Flaming Fist Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,Blaze Portyr's Ceremonial Flaming Fist Helm is a common Helmet. It is a unique variant of Flaming Fist Helmet.,,,,,,,,,,
Cracked Helm of Shar,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,Cracked Helm of Shar is a common Helmet that improves the wearer's Constitution Saving Throws.,,,,,,,,,,
Fierce Golden Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,A Fierce Golden Helm is a common Helmet.,,,,,,,,,,
Flaming Fist Helmet,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,A Flaming Fist Helmet is a common Helmet.,,,,,,,,,,
Formidable Helmet,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,A Formidable Helmet is a common Helmet.,,,,,,,,,,
Goldgloss Heraldic Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,The Goldgloss Heraldic Helm is a common Helmet.,,,,,,,,,,
Helmet,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,1,A Helmet is a common Helmet.,,,,,,,,,,
Justiciar Helmet,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,A Justiciar Helmet is a common Helmet.,,,,,,,,,,
Opulent Helmet,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,"Opulent Helm is a common Helmet, it provides minimal bonuses to a character but may be worn of aesthetic reasons.",,,,,,,,,,
Regal Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,A Regal Helm is a common Helmet.,,,,,,,,,,
Reinforced Helmet,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,A Reinforced Helmet is a common Helmet.,,,,,,,,,,
Scalpspike Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,Scalpspike Helm is a common Helmet that improves the wearer's Constitution Saving Throws.,,,,,,,,,,
Shar Headwear,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,Shar Headwear is a common Helmet that improves the wearer's Constitution Saving Throws.,,,,,,,,,,
Triumphal Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,Triumphal Helm is a common Helmet that improves the wearer's Constitution Saving Throws.,,,,,,,,,,
Watch's Helmet,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,Watch's Helmet is a common Helmet that improves the wearer's Constitution Saving Throws.,,,,,,,,,,
Well Crated Helm,,,Headwear,Common,Medium,1.0kg,40,,,,FALSE,,,,,,CON,1,,,,,,,,,,,,,,,A Well Crated Helm is a common Helmet.,,,,,,,,,,
Dark Justiciar Helm,,,Headwear,Uncommon,Medium,1.0kg,115,,,,FALSE,,,,,,CON,1,,,,,Swathed in Shadow,,,,,,,,,1,A Dark Justiciar Helm is an uncommon Helmet worn by Shar's Dark Justiciars that grants a bonus to Saving Throws while obscured by shadow.,,,,,,,,,,
Helmet of Smiting,,,Headwear,Uncommon,Medium,1.0kg,115,,,,FALSE,,,,,,CON,1,,,,,Bolstering Smite,,,,,,,,,1,The Helmet of Smiting is an uncommon Helmet which grants the wearer Temporary Hit Points whenever they apply a Condition using a Smite spell.,,,,,,,,,,
Holy Lance Helm,,,Headwear,Uncommon,Medium,1.0kg,115,,,,FALSE,,,,,,CON,1,,,,,Smite the Graceless,,,,,,,,,2,A Holy Lance Helm is an uncommon Helmet that potentially deals radiant damage to creatures that attack the wearer.,,,,,,,,,,
