Creature,,,Type,Race,Class,Subclass,Identity,Size,Movement,Darkvision,Weight,XP,Actions/Spells,Weapons,Grenades,Boss,Imunities,,Vulnerabilities,Family,Faction,Title
Azari,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,200,"Cleave,Lacerate,Main Hand Attack,Piercing Strike,Rush Attack,Trip Attack (Melee)","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Youth Ba’akreth,,,Humanoid,Githyanki,,,Female,Medium,9.0m,,75.0kg,75,"Flourish,Main Hand Attack,Piercing Strike",Shortsword,,FALSE,,,,,Crèche Y'llek,
Guard Baalfe,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,250,"Concussive Smash,Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack,Menacing Attack (Melee)","Hand Crossbow,Mace",,FALSE,,,,,Cult of Bane,
Babyjowls,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,The Guild,Guild Member
Bad Twin Bubbins,,,Humanoid,Halfling,Rogue,,Male,Small,7.5m,,35.0kg,320,"Flourish,Lacerate,Main Hand Attack",Scimitar,,FALSE,,,,,The Guild,
Baelen Bonecloak,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,40,,,,FALSE,,,,Derryth Bonecloak (wife),,
Baff Elkhorn,,,Humanoid,Gnome,Barbarian,Wildheart,Female,Small,7.5m,12.0m,35.0kg,250,"Rage: Elk Heart,Reckless Attack,Sneak Attack (Melee)",,,FALSE,,,,,,
Fist of Bane Bagdog,,,Humanoid,Half-orc,,,Male,Medium,9.0m,18.0m,100.0kg,250,"Concussive Smash,Main Hand Attack,Ranged Attack,Menacing Attack (Melee)","Hand Crossbow,Mace +1",,FALSE,,,,,,
Servant Bailey,,,Humanoid,Human,,,Male,Medium,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Manip Bakshi,,,Humanoid,Human,Cleric,War Domain,Male,Medium,9.0m,,75.0kg,250,"Aid,Calm Emotions,Command: Grovel,Crusader's Mantle,Mass Cure Wounds,Sacred Flame",,,FALSE,,,,,Flaming Fist,
Tracker Bal,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,20,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Gondian Bala Ofran,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,35.0kg,320,"Lightning Bolt,Misty Step,Shocking Grasp,Thunderwave",,,FALSE,,,,Deedle Ofran (sister)Genshu Ofran (brother),Church of Gond,
Balgor,,,Humanoid,Dwarf,,,Male,Medium,7.5m,9.5m,75.0kg,,,,,FALSE,,,,,,
Bao'ek'nuk,,,Humanoid,Bugbear,,,Male,Medium,9.0m,12.0m,110.0kg,20,"Concussive Smash,Heartstopper,Main Hand Attack,Piercing Strike,Tenacity,Throw","Javelin,Morningstar",,FALSE,,,,,Cult of the Absolute,
Barcus,,,Humanoid,Gnome,,,Male,Small,6.0m,24.0m,35.0kg,20,,,,FALSE,,,,,Clan Ironhand,
Voiceless Penitent Bareki,,,Humanoid,Human,Paladin,,Male,Medium,9.0m,,75.0kg,400,"Aura of Penance,Concussive Smash,Divine Smite,Main Hand Attack",Mace,,FALSE,,,,,,
Sarth Baretha,,,Humanoid,Githyanki,Fighter,Battle Master,Female,Medium,9.0m,,75.0kg,90,"Action Surge,Astral Step,Cleave,Disarming Attack (Melee),Lacerate,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,TRUE,,,,,,Warrior of the One Sky
Barnz,,,Humanoid,Human,,,Male,Medium,9.0m,30.0m,75.0kg,320,"Main Hand Attack,Shroud Self",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Barth,,,Humanoid,Half-elf,,,Male,Medium,9.0m,12.0m,75.0kg,20,"Main Hand Attack,Ranged Attack","Hand Crossbow,Shortsword",,FALSE,,,,,,
Barton,,,Humanoid,Human,Rogue,,Male,Medium,9.0m,,75.0kg,15,"Ranged Attack,Sneak Attack (Ranged),Throw",Shortbow,Alchemist's Fire,FALSE,,,,,Overgrown Ruin Looters,
Bastian d'Zinn,,,Humanoid,Human,,,Male,Medium,9.0m,,35.0kg,1,,,,FALSE,,,,,,
Battrick Degronce,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Sharran Sentry Baxta,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,24.0m,75.0kg,320,"Flourish,Lacerate,Main Hand Attack",Scimitar (Sharran),,FALSE,,,,,Church of Shar,
Baz Hopbank,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Bearclaw,,,Humanoid,Gnome,Barbarian,Wildheart,Female,Small,7.5m,12.0m,35.0kg,250,"Rage: Bear Heart,Reckless Attack,Sneak Attack (Melee)",,,FALSE,,,,,,
Beatrice Provoss,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Provoss,,Lady of Baldur's Gate
Becca,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,Asumi (mother),,
Bedi,,,Humanoid,Half-orc,Barbarian,Wildheart,Male,Medium,9.0m,18.0m,100.0kg,75,"Lacerate,Main Hand Attack,Off-Hand Attack (Melee),Rage: Wolf Heart,Reckless Attack,Throw","Lantern,Handaxe",Alchemist's Fire,FALSE,,,,,Cult of the Absolute,
Adept Bel,,,Humanoid,Half-elf,Cleric,,Male,Medium,9.0m,12.0m,75.0kg,140,"Command: Flee,Death Ward,Guardian of Faith,Guiding Bolt,Hunger of Hadar,Main Hand Attack,Sacred Flame,Topple",Quarterstaff,,FALSE,,,,,Cult of the Absolute,
Beldron,,,Humanoid,Gnome,,,Male,Small,7.5m,24.0m,35.0kg,75,,,,FALSE,,,,Lunkbug (husband),Clan Ironhand,Ironhand's Steward
Belford Willoughby,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,Harvard Willoughby (father),,
Fist Bella (Bloomridge Park),,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack,Throw","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Fist Bella (Wyrms Rock Fortress),,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,12.0m,75.0kg,200,"Brace (Ranged),Ensnaring Strike (Ranged),Piercing Strike,Ranged Attack,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Bellar,,,Humanoid,Human,Rogue,,Male,Medium,9.0m,,75.0kg,40,"Brace (Ranged),Hamstring Shot,Ranged Attack,Sneak Attack (Ranged)",Longbow,,FALSE,,,,,Zhentarim,
Bellora Truscott,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Phinn Truscott (husband)Unnamed daughter (deceased),,
Belron Strongstep,,,Humanoid,Dwarf,,,Male,Medium,7.5m,9.0m,75.0kg,,,,,FALSE,,,,Unnamed wife (deceased),,
Acolyte Belub,,,Humanoid,Dwarf,Cleric,,Male,Medium,7.5m,24.0m,75.0kg,110,"Bless,Cure Wounds,Piercing Shot,Ranged Attack,Sacred Flame",Light Crossbow,,FALSE,,,,,Cult of the Absolute,
Ben Golewits,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,1,Main Hand Attack,Dagger,,FALSE,,,,Marpha Golewits (wife)Cinta Golewits (daughter),,
Zealot Bennel,,,Humanoid,Human,Paladin,,Male,Medium,9.0m,,75.0kg,140,"Branding Smite,Lay on Hands: Greater Healing,Lay on Hands: Lesser Healing,Main Hand Attack,Ranged Attack,Thunderous Smite,Abjure Enemy","Shortbow,Halberd",,FALSE,,,,,Cult of the Absolute,
Benryn,,,Humanoid,Half-elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,"Mirileth (wife, deceased)",,
Booyahg Benta,,,Humanoid,Goblin,Wizard,,Female,Small,9.0m,12.0m,35.0kg,15,"Acid Splash,Grease,Main Hand Attack,Ray of Sickness,Topple",Ritual Staff,,FALSE,,,,,Cult of the Absolute,
Beorn Wunterbrood,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,400,,,,FALSE,,,,,,
Bering Gahorst,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Worker Bernyr,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Bertram,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Martina (partner),,
Beulla Sandfoot,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Bex,,,Humanoid,Tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,Unarmed Strike,,,FALSE,,,,Danis (husband),Tiefling refugees,
Warrior Bez,,,Humanoid,Goblin,Fighter,,Female,Small,9.0m,12.0m,35.0kg,20,"Lacerate,Main Hand Attack,Menacing Attack (Melee),Throw Stone",Handaxe,,FALSE,,,,,Cult of the Absolute,
Big Clive,,,Humanoid,Human,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Big Liar Bronzon,,,Humanoid,Half-orc,,,Female,Medium,9.0m,18.0m,75.0kg,1,,,,FALSE,,,,,,
Brother Bill,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,200,,,,FALSE,,,,,Church of Ilmater,
Billigan Indigo,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,,,,,FALSE,,,,Sammia Indigo (wife)Dannbo Indigo (son),,
Billy,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Billyum,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Brawler Birka,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,20,"Flourish,Lacerate,Main Hand Attack,Throw Stone",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,
Birta Grougg,,,Humanoid,Half-orc,,,Female,Medium,9.0m,18.0m,100.0kg,1,,,,FALSE,,,,,,
Blades Bakstir,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,The Guild,Guild Member
Harper Blaird,,,Humanoid,Elf,Ranger,,Male,Medium,9.0m,12.0m,75.0kg,400,"Fog Cloud,Hamstring Shot,Ranged Attack,Wolf Companion",Longbow,,FALSE,,,,,Harpers,
Blarson Throaks,,,Humanoid,Human,,,,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,Clovia Throaks (husband)Gasper Throaks (son),,
Bleeri,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Blevindall,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Bliggerillo,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Blinded Elf,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Bhaal Cultist Bloodmopper,,,Humanoid,Human,,,Male,Medium,9.0m,30.0m,75.0kg,400,"Main Hand Attack,Piercing Strike",Dagger,,FALSE,,,,,Cult of Bhaal,
Head Clerk Meadhoney,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,The Counting House,
Blossom,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,Dharin Brislen (father)Leepak Brislen (mother)Bunny (sister),,
Sharran Novice Bluenail,,,Humanoid,Dwarf,Fighter,,Female,Medium,7.5m,24.0m,75.0kg,320,Main Hand Attack,Mace,,FALSE,,,,,Church of Shar,
Blunt Skuncher,,,Humanoid,Human,Wizard,Evocation School,Male,Medium,9.0m,,75.0kg,140,"Fire Bolt,Magic Missile,Topple",,,FALSE,,,,,Stone Lord,
Death's Head of Bhaal Blythe,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,320,"Flourish,Lacerate,Main Hand Attack,Piercing Strike,Stunning Gaze",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Bobby,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Bobula Hanvers,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Bogdan Vortleson,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Warlock Bolt,,,Humanoid,Goblin,Warlock,,Female,Small,9.0m,12.0m,35.0kg,20,"Armour of Agathys,Eldritch Blast,Hex,Lacerate,Main Hand Attack",Handaxe,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Bombasto,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Menacing Attack (Melee),Prepare,Trip Attack (Melee)",Greataxe,,FALSE,,,,,,
Bonna,,,Humanoid,Dwarf,Fighter,,Female,Medium,7.5m,24.0m,75.0kg,75,"Cleave,Enlarge (Duergar),Lacerate,Main Hand Attack,Prepare",Greataxe,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Harper Bor,,,Humanoid,Half-elf,Barbarian,,Male,Medium,9.0m,12.0m,75.0kg,90,"Cleave,Lacerate,Maiming Strike,Main Hand Attack,Rage,Reckless Attack",Battleaxe,,FALSE,,,,,Harpers,
Borgus Elamin,,,Humanoid,Elf,Wizard,,Male,Medium,9.0m,12.0m,75.0kg,200,"Acid Splash,Armour of Agathys,Arms of Hadar,Chromatic Orb: Acid",,,FALSE,,,,,Zhentarim,
Black Gauntlet Borri Paver,,,Humanoid,Dwarf,Cleric,,Male,Medium,7.5m,12.0m,75.0kg,400,"Aura of Terror,Blight,Dominate Person,Inflict Wounds,Initiate Collar Detonation,Phantasmal Killer,Spirit Guardians (Necrotic)",,,FALSE,,,,,Cult of Bane,
Hiccups Bortun,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Veteran Warrior Bradi'ith,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,200,"Cleave,Disarming Attack (Melee),Enhance Leap,Lacerate,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,FALSE,,,,,,
Brakkal,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,20,,,,FALSE,,,,,,Faithful of Maglubiyet
Novice Bramble,,,Humanoid,Halfling,Cleric,,,Small,7.5m,,35.0kg,200,Sacred Flame,,,FALSE,,,,,Church of Ilmater,
Cashguard Basher Brammels,,,Humanoid,Human,Paladin,,Male,Medium,9.0m,,75.0kg,250,"Backbreaker,Blinding Smite,Concussive Smash,Divine Smite,Lay on Hands: Greater Healing,Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack,Tenacity","Hand Crossbow,Maul",,FALSE,,,,,The Counting House,
Fist Brandella,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack,Throw","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Harper Branthos,,,Humanoid,Elf,Fighter,,Male,Medium,10.5m,12.0m,75.0kg,90,"Disarming Attack (Melee),Main Hand Attack,Pommel Strike,Rush Attack",Longsword,,FALSE,,,,,Harpers,
Brathwen,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,24.0m,75.0kg,75,"Backbreaker,Bone Chill,Concussive Smash,Main Hand Attack,Menacing Attack (Melee),Throw,Weakening Strike",Warhammer,Smokepowder Bomb,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Sharp-Eye Breg,,,Humanoid,Goblin,Ranger,,Male,Small,9.0m,12.0m,35.0kg,20,"Ensnaring Strike (Ranged),Hamstring Shot,Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Brawler Brek,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,20,"Flourish,Lacerate,Main Hand Attack,Throw Stone",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,
Warrior Brelal’reth,,,Humanoid,Githyanki,Fighter,,Female,Medium,9.0m,,75.0kg,75,"Cleave,Disarming Attack (Melee),Enhance Leap,Lacerate,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,FALSE,,,,,Crèche Y'llek,
Brem,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,40,"Main Hand Attack,Ranged Attack","Hand Crossbow,Dagger",,FALSE,,,,Garias (younger sibling),Zhentarim,Trader
Breva Brightmoon,,,Humanoid,Dwarf,Fighter,,Female,Medium,7.5m,12.0m,75.0kg,200,"Main Hand Attack,Rush Attack,Trip Attack (Melee)",Spear,,FALSE,,,,,Flaming Fist,Prison Guard
Brigid,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Cormac (husband),,
Zealot Brinn,,,Humanoid,Halfling,Paladin,,Male,Small,7.5m,,35.0kg,140,"Branding Smite,Cleave,Divine Smite,Lacerate,Lay on Hands: Greater Healing,Lay on Hands: Lesser Healing,Main Hand Attack,Rush Attack,Thunderous Smite,Abjure Enemy",Halberd,,FALSE,,,,,Cult of the Absolute,
Brinna Brightsong,,,Humanoid,Halfling,Bard,,Female,Small,7.5m,,,,,,,FALSE,,,,,,
Elder Brithvar,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,24.0m,75.0kg,75,"Enlarge,Maiming Strike,Main Hand Attack,Piercing Strike,Throw,Weakening Strike","Javelin,Deep Delver",,FALSE,,,,,Clan Flameshade,
Fist Broadhorn,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,12.0m,75.0kg,200,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack,Throw","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Fist Broko,,,Humanoid,Human,Wizard,,Female,Medium,9.0m,,75.0kg,250,"Blight,Conjure Elemental: Fire Elemental,Counterspell,Fire Bolt,Melf's Acid Arrow,Main Hand Attack,See Invisibility,Topple",Quarterstaff,,FALSE,,,,,Flaming Fist,
Bronte,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Fist Brottor,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,12.0m,75.0kg,250,"Main Hand Attack,Rush Attack,Trip Attack (Melee)",Spear,,FALSE,,,,,Flaming Fist,
Ironshield Brounce,,,Humanoid,Gnome,Fighter,,Female,Small,7.5m,24.0m,35.0kg,250,"Backbreaker,Concussive Smash,Main Hand Attack,Weakening Strike",Warhammer,,FALSE,,,,,Clan Ironhand,
Bruha Oakhide,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,Thatmatt Oakhide (husband),,
Bruno Indomicus,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Flaming Fist Bryanne,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,40,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack",Longsword,,FALSE,,,,,Flaming Fist,
Brynna,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,20,"Command: Halt,Concussive Smash,Healing Word,Main Hand Attack,Sacred Flame",Mace,,FALSE,,,,Andrick (brother)  Edowin (brother),Cult of the Absolute,Novice of the Absolute
Buff Tanner,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Bug Bludgeon,,,Humanoid,Dwarf,Ranger,Gloom Stalker,Male,Medium,7.5m,12.0m,75.0kg,75,"Brace (Ranged),Ranged Attack,Hamstring Shot","Shortbow,Longbow",,FALSE,,,,,The Guild,
Bumpnagel,,,Humanoid,Gnome,Ranger,,Male,Small,7.5m,24.0m,35.0kg,200,"Barkskin,Ensnaring Strike (Ranged),Main Hand Attack,Ranged Attack","Hand Crossbow,Longsword",,FALSE,,,,,Clan Ironhand,
Bunny,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,Dharin Brislen (father)Leepak Brislen (mother)Blossom (sister),,
Buntter,,,Humanoid,Half-orc,,,Male,Medium,9.0m,18.0m,75.0kg,1,,,,FALSE,,,,,,
Burrock,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,5,,,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Burzenberg,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Bustlebury,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Byldrath,,,Humanoid,Human,,,Male,Medium,9.0m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Caerdwyn,,,Humanoid,Half-elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Caitlin,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Caitriono,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Cal,,,Humanoid,Tiefling,Fighter,,Male,Medium,9.0m,12.0m,75.0kg,20,Main Hand Attack,Javelin,,FALSE,,,,Lia (sister) Rolan (brother),Tiefling refugees,
Fist Callaway,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,200,"Main Hand Attack,Piercing Strike,Rush Attack,Trip Attack (Melee)","Spear,Javelin",,FALSE,,,,,Flaming Fist,
Callem Bormul,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Bormul,,Baron
Harper Callie,,,Humanoid,Dwarf,Fighter,Battle Master,Female,Medium,7.5m,12.0m,75.0kg,90,"Concussive Smash,Disarming Attack (Melee),Main Hand Attack,Menacing Attack (Melee),Tenacity",Greatclub,,FALSE,,,,,Harpers,
Callira,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Cappa Delourese,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Caralee Grollo,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,35.0kg,1,Dash,,,FALSE,,,,,Church of Gond,
Carlorina the Wolf,,,Humanoid,Half-elf,Rogue,,Female,Medium,9.0m,16.0m,75.0kg,320,Main Hand Attack,Shortsword,,FALSE,,,,,,Zhentarim
Carmen Pennygood,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,Figaro Pennygood (brother)Julio Facemaker (deceased father),,
Carnelia Vanthampur,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Carys,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Cassivora Dophir,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,200,"Flourish,Lacerate,Main Hand Attack",Scimitar,,FALSE,,,,,The Gur,
Caïros,,,Humanoid,Tiefling,Fighter,Battle Master,Male,Medium,9.0m,12.0m,75.0kg,200,"Action Surge,Backbreaker,Concussive Smash,Disarming Attack (Melee),Grand Slam,Indomitable,Main Hand Attack,Second Wind,Tenacity",Corpsegrinder,,FALSE,,,,,Envoys of the Stone Lord,Envoy of the Stone Lord
Cecee Gaborr,,,Humanoid,Human,,,Female,Medium,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Cefrey,,,Humanoid,Human,Wizard,,Female,Medium,9.0m,,2.0kg,15,"Burning Hands,Fire Bolt,Ice Knife,Mage Armour,Main Hand Attack,Shocking Grasp",Quarterstaff,,FALSE,,,,,Overgrown Ruin Looters,
Ceres Olsin,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,Dash,,,FALSE,,,,Frell Olsin (husband),Church of Gond,
Cerys,,,Humanoid,Tiefling,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,20,"Brace (Ranged),Hamstring Shot,Ranged Attack",Longbow,,FALSE,,,,,Tiefling refugees,Elturian Scout
Warrior Ch’guth,,,Humanoid,Githyanki,Fighter,,Female,Medium,9.0m,,75.0kg,75,"Cleave,Disarming Attack (Melee),Enhance Leap,Lacerate,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,FALSE,,,,,Crèche Y'llek,
Ch'kk'ch,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Iron Consul Chadd,,,Humanoid,Half-orc,Fighter,,Male,Medium,9.0m,18.0m,100.0kg,320,"Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack,Rush Attack,Voice of Command,Goading Attack (Melee)","Hand Crossbow,Spear +1",,FALSE,,,,,Cult of Bane,
News Hawker Chalara,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Monsieur Chapeau,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,10,"Flourish,Main Hand Attack,Perform 'Bard Dance',Piercing Strike,Weakening Strike",Rapier,,FALSE,,,,,,
Charl Baragezian,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,Fyl Baragezian (father)Nonah Baragezian (mother),,
Charming Latham,,,Humanoid,Human,Wizard,Evocation School,Male,Medium,9.0m,,75.0kg,75,"Conjure Elemental: Water Elemental,Ice Knife,Ice Storm,Main Hand Attack,Piercing Strike,Ray of Frost",Dagger,,FALSE,,,,,The Guild,
Cheeky Nora,,,Humanoid,Half-elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,The Guild,Guild Member
Chell,,,Humanoid,Asmodeus tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Harper Chenti,,,Humanoid,Human,Druid,,Female,Medium,9.0m,,75.0kg,90,"Cure Wounds,Healing Word,Heat Metal,Main Hand Attack,Shillelagh,Topple",Quarterstaff,,FALSE,,,,,Harpers,
Clerk Chervis,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,The Counting House,
Sauceman Chorizo,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,200,,,,FALSE,,,,,,
Raider Chost,,,Humanoid,Githyanki,Fighter,,,Medium,9.0m,,75.0kg,75,"Brace (Ranged),Misty Step,Piercing Shot,Rally,Ranged Attack,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,,
Churg Elvek,,,Humanoid,Human,,,Male,Medium,9.0m,30.0m,75.0kg,250,"Lacerate,Main Hand Attack,Aura of Murder (class action)",Handaxe,,FALSE,,,,,Cult of Bhaal,
Raider Chy'raagh,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Brace (Ranged),Misty Step,Piercing Shot,Ranged Attack,Rally,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,Crèche Y'llek,
Ciara Blank,,,Humanoid,Dwarf,,,Female,Medium,7.5m,9.0m,35.0kg,1,,,,FALSE,,,,,,
Cilarea,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,320,"Main Hand Attack,Off-Hand Attack (Melee),Piercing Strike",Dagger,,FALSE,,,,,Cult of Bhaal,
Cillian,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
