Name,Image,Cost 1,Cost 2,Cost #,Cost 3,Cost on Hit 1,Cost on Hit 2,Cantrip,Spell,Concentration,Ritual,DMG1,DMG1 Type,DMG2,DMG2 Type,DMG3,DMG3 Type,DMG4,DMG4 Type,DMG5,DMG5 Type,DMG6,DMG6 Type,Range,Area,Area Type,Push,Pull,Special WA,WA,Illithid Power,Attack Roll Type,On Miss,Attack Type,Recharge,School,Spell Level,ST Ability,ST Base DC,ST DC Type,Half DMG on Save,On Save,Condition 1,Condition 1 ST Ability,Condition 1 Base DC,Condition 1 DC Type,Condition 1 Duration,Condition 2,Condition 2 ST Ability,Condition 2 Base DC,Condition 2 DC Type,Condition 2 Duration,Additional DMG per Spell Level,DMG User Level 1,DMG Increase 1,DMG User Level 2,DMG Increase 2,DMG User Level 3,DMG Increase 3,Additional DMG Type,Additional Target Per Spell Level,Subactions,Areas,Creatures,Items,Healing,Targets,Desc1,Desc2,Levels,,,,Spells,Non Spells,Cantrips,Illithid Powers,Weapon Actions
Diving Strike,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,,,,,,,,,,,Jumprange,,,,,FALSE,FALSE,FALSE,Melee,,Melee,,,,,,,FALSE,,Prone,,,,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,"Diving Strike is a Wildheart Barbarian class action only available while using Rage: Eagle Heart, allowing you to leap down on a target dealing damage and knocking them prone.","Leap down unto a foe below you, dealing normal weapon damage and knocking them Prone. You do not take falling damage. You must be at least 1.5 m / 5 ft above your target. Available only when Raging.",,,,,Wall of Fire,Mind Screech,,,
Dominate Beast,,Action,Level 4 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Enchantment,4,,,,FALSE,,Dominated,WIS,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,"Dominate Beast is a level 4 enchantment spell. It allows spellcasters to temporarily charm a Beast into fighting alongside the caster, rather than against them.","Make a Beast fight alongside you. Every time the Beast takes damage, it makes a Wisdom Saving throw against your domination.",Casting this spell at a higher level grants no additional benefit.,,,,Wall of Ice,Mindsteal Link,,,
Dominate Person,,Action,Level 5 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Enchantment,5,,,,FALSE,,Dominated,WIS,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Dominate Person is a level 5 enchantment spell. It allows spellcasters to force a humanoid to temporarily fight as an ally.,"Dominate a nearby humanoid. Allies are unaffected. Every time the creature takes damage, it may repeat the Saving throw against your domination.",Casting this spell at a higher level grants no additional benefit.,,,,Wall of Stone,Mindsteal Tempest,,,
Draconic Elemental Weapon,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,"Draconic Elemental Weapon: Acid, Draconic Elemental Weapon: Cold, Draconic Elemental Weapon: Fire, Draconic Elemental Weapon: Lightning, Draconic Elemental Weapon: Thunder",,,,,,"Draconic Elemental Weapon is a level 3 transmutation spell. It imbues a weapon with a chosen energy type, increasing its damage and accuracy. This item spell is similar to the Paladin spell Elemental Weapon.",Imbue a weapon with elemental power. It receives a +1 bonus to Attack rolls and deals an additional 1d4 damage of your choice.,Casting this spell at a higher level grants no additional benefit.,,,,Wall of Thorns,Minor Conjuration: Create Water,,,
Draconic Elemental Weapon: Acid,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Acid,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Draconic Elemental Weapon: Acid is a level 3 transmutation spell. This spell is a variant of Draconic Elemental Weapon and imbues a weapon with corrosive might, granting it bonus Acid damage and a +1 to attack rolls.",Imbue a weapon with corrosive might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠⁠Acid damage.,Casting this spell at a higher level grants no additional benefit.,,,,Warden of Vitality,Mist Stance,,,
Draconic Elemental Weapon: Cold,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Cold,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Draconic Elemental Weapon: Cold is a level 3 transmutation spell. This spell is a variant of Draconic Elemental Weapon and imbues a weapon with icy might, granting it bonus Cold damage and a +1 bonus to attack rolls.",Imbue a weapon with an icy might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠⁠Cold damage.,Casting this spell at a higher level grants no additional benefit.,,,,Warding Bond,Mizora - Agent of Avernus,,,
Draconic Elemental Weapon: Fire,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Fire,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Draconic Elemental Weapon: Fire is a level 3 transmutation spell. This spell is a variant of Draconic Elemental Weapon and imbues a weapon with icy might, granting it bonus Fire damage and a +1 bonus to attack rolls.",Imbue a weapon with an icy might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠⁠Fire damage.,Casting this spell at a higher level grants no additional benefit.,,,,Web,Moan,,,
Draconic Elemental Weapon: Lightning,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Lightning,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Draconic Elemental Weapon: Lightning is a level 3 transmutation spell. This spell is a variant of Draconic Elemental Weapon and imbues a weapon with icy might, granting it bonus Lightning damage and a +1 bonus to attack rolls.",Imbue a weapon with an icy might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠⁠Lightning damage.,Casting this spell at a higher level grants no additional benefit.,,,,Whossa Large Fellow?,Mobile Flourish (Melee),,,
Draconic Elemental Weapon: Thunder,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Thunder,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Draconic Elemental Weapon: Thunder is a level 3 transmutation spell. This spell is a variant of Draconic Elemental Weapon and imbues a weapon with icy might, granting it bonus Thunder damage and a +1 bonus to attack rolls.",Imbue a weapon with an icy might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠⁠Thunder damage.,Casting this spell at a higher level grants no additional benefit.,,,,Wicked Coercion,Mobile Flourish (Ranged),,,
Draining Kiss,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,5d10+5,Psychic,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,,,WIS,,Spell Save DC,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,1 creature affected by  Fiendish Charm,Draining Kiss is a class action available to Cambions. It allows them to deal heavy ⁠Psychic damage to charmed enemies.,Lay a deadly kiss upon a foe Charmed by your Fiendish Charm. The Charmed condition will end if the target takes damage from your tainted lips.,,,,,Wind Walk,Moonlight Butterflies,,,
Draining Kiss (Haarlep),,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,,"Sumptuously Drained,Drained",CON,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Draining Kiss is a class action available to Haarlep. It allows him to deal heavy ⁠Psychic damage to charmed enemies.,"Lay a deadly kiss upon a foe Charmed by your Incubus Charm. On a failed save, the target receives Sumptuously Drained. On a successful save, it receives Drained.",,,,,Witch Bolt,Moral Confinement,,,
Dreadful Aspect,,Action,Channel Oath Charge,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,9.0m,Radius,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,,Frightened,WIS,,Spell Save DC,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,Self,Dreadful Aspect is a Channel Oath action available to paladins that have chosen the path of the Oathbreaker. This ability allows these paladins to channel their dark emotions to frighten their enemies.,Let your darkest emotions burst forth as a menacing pulse to Frighten nearby enemies.,,,,,Withering Gift,Mud Breath,,,
Dreadful Glare,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,Per Turn,,,,,,FALSE,,Frightened,WIS,11,,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Dreadful Glare is an action that possibly frighten a target.,Affix a target with your baleful gaze to Frighten it.,,,,,Withering Theft,Mud Fling,,,
Drunken Inhale,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,4d8,Poison,,,,,,,,,,,,5.0m,Cone,,8.0m,FALSE,FALSE,FALSE,,,,,Evocation,1,,,,FALSE,"Target still takes one quarter damage, but are not pulled closer or made Drunk",Drunk,CON,,Spell Save DC,1 Turn,,,,,,,,,,,,,,FALSE,,,,,,Self,Drunken Inhale is a level 1 evocation spell. This spell allows spellcasters to damage and intoxicate creatures in an area in front of them. It cannot be learned by players and is only used by NPCs.,Compel foes toward you with an intoxicating wind that makes them Drunk.,Casting this spell at a higher level grants no additional benefit.,,,,Withering Touch,Muddy Claws,,,
Eagle's Splendour,,Action,Level 2 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,2,,,,FALSE,,Eagle's Splendour,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,Eagle's Splendour is a level 2 transmutation spell. This spell allows spellcasters to bestow a creature the elegance of an eagle. Affected creatures gain Advantage on Charisma Checks.,Creature gains Advantage on Charisma Checks.,"When this Spell is cast at 3rd level or higher, you can target an additional creature for each spell slot level above 2nd.",,,,Wounding Ray,Multiattack (Air Elemental),,,
Echoes in the Dark,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,Per Combat,,,,,,FALSE,,Calling Reinforcements,,,,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Echoes in the Dark is an action which allows a creature to call for reinforcements.,The creature cries out in alarm to alert its allies.,,,,,Wrathful Smite,Multiattack (Ansur),,,
Edge of Darkness,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,,,,,,,,,,,1.5m,3.0m,Radius,,,TRUE,TRUE,FALSE,Melee,,Melee,Short Rest,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,Darkness,,,,,Edge of Darkness is a weapon action granted by Shar's Spear of Evening.,Create a cloud of Darkness while you attack. [See: Bugs],,,,,Beckoning Darkness,Multiattack (Bernard),,,
Eldritch Blast,,Action,,,,,,TRUE,FALSE,FALSE,FALSE,1d10,Force,,,,,,,,,,,18.0m,,,4.5m,,FALSE,FALSE,FALSE,Ranged Spell,,,,Evocation,,,,,FALSE,,,,,,,,,,,,,5,1d10,10,2d10,,,Force,FALSE,,,,,,,"Eldritch Blast is a cantrip (Evocation). It allows the spellcaster to shoot out an energy beam that deals ⁠Force damage, and can be upgraded with Warlock abilities.",Conjure a beam of crackling energy. Deals 1d10⁠Force damage to a target.,"Unlike other cantrips whose damage increases at certain character levels, Eldritch Blast, instead, creates multiple beams at higher levels:   1d10 (1~10)  ⁠Force per ray  2 beams at character level 5 3 beams at character level 10 You can either target a single creature or multiple creatures with the beams. Each beam rolls a separate Attack roll and is affected by the selected Eldritch Invocations (see notes for further details).",,,,Bludgeon the Weak,Multiattack (Cave Bear Wild Shape),,,
Electrified Flail,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,1d10,Lightning,,,,,,,,,1.5m,,,,,TRUE,TRUE,FALSE,Melee,,Melee,,,,,,,FALSE,,Stunned,CON,13,,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Electrified Flail is a weapon action granted by Flail of the Vortex.,Clout a foe with your lightning-suffused flail and Stun them.,,,,,Brand the Weak,Multiattack (Cloaker),,,
Electrified Regurgitation,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,STR,Lightning,6d8,Lightning,,,,,,,,,4.0m,,,,,FALSE,FALSE,FALSE,,,,Per Turn,,,,,,TRUE,,Stunned,CON,16,,2 Turns,Moderately Inebriated,CON,16,,,,,,,,,,,FALSE,,Electrified Water,,,,,Electrified Regurgitation is an action available to Thisobald Thorm while he has the condition Electrified Reflux. He vomits up electrified fluids in an area and becomes slightly more inebriated.,A sip from the Brewer's special booze causes him to vomit an electrified fluid that can Stun those it hits.,,,,,Burning Age,Multiattack (Doppelganger),,,
Elemental Weapon,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,"Elemental Weapon: Acid, Elemental Weapon: Cold, Elemental Weapon: Fire, Elemental Weapon: Lightning, Elemental Weapon: Thunder",,,,,,"Elemental Weapon is a level 3 transmutation spell. It imbues a weapon with a chosen energy type, increasing its damage and accuracy.",Imbue a weapon with elemental power. It receives a +1 bonus to Attack rolls and deals an additional 1d4 damage of your choice.,Upcasting: Casting this spell using a 5th or 6th level Spell Slot increases the Attack rolls bonus by 1 and additional 1d4 damage of your choice.,,,,Call of the Crustacean,Multiattack (Drider),,,
Elemental Weapon: Acid,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Acid,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Elemental Weapon: Acid is a level 3 transmutation spell. This spell is a variant of Elemental Weapon and imbues a weapon with corrosive might, granting it bonus Acid damage and a +1 bonus to attack rolls.",Imbue a weapon with corrosive might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠⁠Acid damage.,Upcasting: Casting this spell using a 5th or 6th level Spell Slot would increase the Attack rolls bonus by 1 and additional 1d4⁠⁠Acid damage.,,,,Castigate Heartform,Multiattack (Earth Elemental),,,
Elemental Weapon: Cold,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Cold,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Elemental Weapon: Cold is a level 3 transmutation spell. This spell is a variant of Elemental Weapon and imbues a weapon with icy might, granting it bonus Cold damage and a +1 bonus to attack rolls.",Imbue a weapon with an icy might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠Cold damage.,Upcasting: Casting this spell using a 5th or 6th level Spell Slot would increase the Attack rolls bonus by 1 and additional 1d4⁠Cold damage.,,,,Compelled Duel,Multiattack (Ettercap),,,
Elemental Weapon: Fire,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Fire,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Elemental Weapon: Fire is a level 3 transmutation spell. This spell is a variant of Elemental Weapon and imbues a weapon with fiery might, granting it bonus Fire damage and a +1 bonus to attack rolls.",Imbue a weapon with fiery might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠Fire damage.,Upcasting: Casting this spell using a 5th or 6th level Spell Slot would increase the Attack rolls bonus by 1 and additional 1d4⁠Fire damage.,,,,Corrosive Age,Multiattack (Fire Elemental),,,
Elemental Weapon: Lightning,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Lightning,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Elemental Weapon: Lightning is a level 3 transmutation spell. This spell is a variant of Elemental Weapon and imbues a weapon with electrical might, granting it bonus Lightning damage and a +1 bonus to attack rolls.",Imbue a weapon with an electrical might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠Lightning damage.,Upcasting: Casting this spell using a 5th or 6th level Spell Slot would increase the Attack rolls bonus by 1 and additional 1d4⁠Lightning damage.,,,,Disrobing Blinkstep,Multiattack (Flesh),,,
Elemental Weapon: Thunder,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,Elemental Weapon: Thunder,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Elemental Weapon: Thunder is a level 3 transmutation spell. This spell is a variant of Elemental Weapon and imbues a weapon with thunderous might, granting it bonus Thunder damage and a +1 bonus to attack rolls.",Imbue a weapon with thunderous might. It receives a +1 bonus to Attack rolls and deals an additional 1d4⁠Thunder damage.,Upcasting: Casting this spell using a 5th or 6th level Spell Slot would increase the Attack rolls bonus by 1 and additional 1d4⁠Thunder damage.,,,,Divine Favour,Multiattack (Flind),,,
Embrace of the Inferno,,Action,Ki Point,3,,,,FALSE,FALSE,FALSE,FALSE,2d6,Fire,2d6,Fire,2d6,Fire,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,Ranged Spell,,,,,,,,,FALSE,,,,,,,,,,,,,9,2d6,,,,,Fire,FALSE,,,,,,3,Embrace of the Inferno is a class action that allows a Way of the Four Elements monk to cast their equivalent of Scorching Ray by expending  Ki Points instead of spell slots.,Expel the fire burning through your veins as 3 flaming rays. Each ray deals 2d6⁠Fire.,"At level 9 with  Improved Elemental Casting, gain an additional ray dealing 2d6⁠Fire.",,,,Elemental Age,Multiattack (Giant Eagle),,,
Empowered Unarmed Strike,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,STR,Bludgeoning,1d4,Bludgeoning,4d8,Force,STR,Force,,,,,1.5m,,,,,FALSE,FALSE,FALSE,Melee Unarmed,,Unarmed,Per Turn,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,Empowered Unarmed Strike is an attack available to Gortash in the form of the Avatar of Tyranny. It allows him to make an unarmed strike empowered with Bane's unholy power.,"Blessed by the unholy strength of Bane, deal 1d4 + Strength modifier⁠Bludgeoning damage and 4d8 + Strength modifer⁠Force damage.",,,,,Expeditious Retreat,Multiattack (Glut),,,
Enhance Ability,,Action,Level 2 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,2,,,,FALSE,,,,,,,,,,,,,,,,,,,,TRUE,"Bear's Endurance, Bull's Strength, Cat's Grace, Eagle's Splendour, Fox's Cunning, Owl's Wisdom",,,,,,Enhance Ability is a level 2 transmutation spell. It allows spellcasters to strengthen an aspect of a creature's physical or mental attributes.,Bestow a magical enchantment upon an ally. They gain Advantage on Ability Checks with a chosen Ability.,"Upcasting: When this Spell is cast at 3rd level or higher, you can target an additional creature for each spell slot level above 2nd.",,,,Feather Fall,Multiattack (Gnoll),,,
Enhance Leap,,Action,Level 1 Spell,,,,,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,1,,,,FALSE,,Jump,,,,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Enhance Leap is a level 1 transmutation spell. It allows spellcasters to increase a creature's Jumping distance.,Triple a creature's Jumping distance.,Casting this spell at a higher level grants no additional benefit.,,,,Flame Blade,Multiattack (Harpy),,,
Enlarge,,Action,Level 2 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,2,,,,FALSE,,Enlarged,CON,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Enlarge is a level 2 transmutation spell. This spell allows spellcasters to increase a creature's body size. Affected creatures deal more damage with their weapons and gain Advantage on Strength Checks and Saving Throws.,Make a creature larger. Its weapons deal an extra 1d4 damage. It has Advantage on Strength Checks and Saving throws.,Casting this spell at a higher level grants no additional benefit.,,,,Fleeting Dream,Multiattack (Hook Horror),,,
Enlarge (Duergar),,Action,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,Long Rest,,,,,,FALSE,,Enlarged,,,,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,Self,Enlarge is a cantrip. This racial spell allows Duergar to increase their body size. Affected creature deals more damage with their weapons and gain Advantage on Strength Checks and Saving Throws.,"Grow in size to become stronger You gain Advantage on Ability Checks and Saving Throws using Strength, and weapon attacks deal an additional 1d4 damage.",Casting this spell at a higher level grants no additional benefit.,,,,Fly (bonus action),Multiattack (Lava Elemental),,,
Enlarge/Reduce,,Action,Level 2 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,2,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,"Enlarge, Reduce",,,,,,Enlarge/Reduce is a level 2 transmutation spell. It allows spellcasters to alter a creature's body size. The caster can choose to double or halve the size of the affected creature.,Make a creature larger or smaller. Either option has a duration of 10 turns. This affects their weapon damage and Strength Checks and Saving throws.,Casting this spell at a higher level grants no additional benefit.,,,,Forced Teleportation,Multiattack (Malus Thorm),,,
Ensnaring Strands,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,STR,Slashing,1d10,Slashing,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,Melee Spell,,,Short Rest,Conjuration,1,,,,FALSE,,Enwebbed,STR,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Ensnaring Strands is a level 1 conjuration spell. It is an item spell similar to Ensnaring Strike which can be cast while wielding Cruel Sting.,Your attack conjures thick sticky webbing that possibly Enwebs your target(s).,Casting this spell at a higher level grants no additional benefit.,,,,Formsculpt: Tressym,Multiattack (Mud Elemental),,,
Ensnaring Strike,,Action,,,,Bonus Action,Level 1 Spell,FALSE,TRUE,TRUE,FALSE,WD,Weapon,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,Ranged Spell,,,,Conjuration,1,,,,FALSE,,Ensnared,STR,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,"Ensnaring Strike (Melee), Ensnaring Strike (Ranged)",,,,,,Ensnaring Strike is a level 1 conjuration spell. This spell allows spellcasters to use weapon attacks to ensnare enemies with thorny vines and deal Piercing damage to them each turn.,Your attack summons thorny vines that possibly Ensnare your target. Ensnared creatures cannot move and take 1d6⁠Piercing damage at the start of each turn. An ally can use their Help action to try and tear away the vines.,Upcasting: Ensnared condition deals an extra 1d6⁠Piercing damage per level.,,,,Githborn: Flying Boots,Multiattack (Mummy),,,
Ensnaring Strike (Melee),,Action,,,,Bonus Action,Level 1 Spell,FALSE,TRUE,TRUE,FALSE,WD,Weapon,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,Melee,,Melee,,Conjuration,1,,,,FALSE,,Ensnared,STR,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Ensnaring Strike (Melee) is a level 1 conjuration spell. This spell allows spellcasters to use melee weapon attacks to ensnare enemies with thorny vines and deal Piercing damage to them each turn.,Your attack summons thorny vines that possibly Ensnare your target. Ensnared creatures cannot move and take 1d6⁠Piercing damage at the start of each turn. An ally can use their Help action to try and tear away the vines.,Upcasting:  Ensnared condition deals an extra 1d6⁠Piercing damage per level.,,,,Glacial Age,Multiattack (Owlbear),,,
Ensnaring Strike (Ranged),,Action,,,,Bonus Action,Level 1 Spell,FALSE,TRUE,TRUE,FALSE,WD,Weapon,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,Ranged,,Ranged,,Conjuration,1,,,,FALSE,,Ensnared,STR,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Ensnaring Strike (Ranged) is a level 1 conjuration spell. It allows spellcasters to use ranged weapon attacks to ensnare enemies with thorny vines and deal Piercing damage to them each turn.,Your attack summons thorny vines that possibly Ensnare your target. Ensnared creatures cannot move and take 1d6⁠Piercing damage at the start of each turn. An ally can use their Help action to try and tear away the vines.,Upcasting:  Ensnared condition deals an extra 1d6⁠Piercing damage per level.,,,,Grasping Vine,Multiattack (Ranged),,,
Entangle,,Action,Level 1 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,3.0m,Radius,,,FALSE,FALSE,FALSE,,,,,Conjuration,1,STR,,Spell Save DC,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,Twisting Vines,,,,,Entangle is a level 1 conjuration spell. It allows spellcasters to conjure magical vines and turn an area within range into difficult terrain. Creatures are possibly Entangled and move at half speed while standing in this area.,"Vines sprout from the ground, turning it into Difficult Terrain and possibly Entangling creatures within. Entangled creatures cannot move. An ally can use its help action to try and tear away the vines.",Casting this spell at a higher level grants no additional benefit.,,,,Healing Word,Multiattack (Raphael),,,
Entangle (Dryad),,Action,,,,,,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,18.0m,3.0m,Radius,,,FALSE,FALSE,FALSE,,,,,,,STR,,Spell Save DC,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,Twisting Vines,,,,,Entangle is a cantrip. This spell allows spellcasters to conjure magical vines and turn an area within range into difficult terrain. Creatures are possibly Entangled and move at half speed while standing in this area.,"Create a vine surface, slowing down creatures, possibly Entangling them.",,,,,Heat Metal: Reapply Damage,Multiattack (Raphael - tactician),,,
Entangle (Wood Woad),,Action,,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,6.0m,6.0m,Radius,,,FALSE,FALSE,FALSE,,,,,Conjuration,1,STR,12,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,Twisting Vines,,,,,"Entangle is a level 1 conjuration spell. It is a variant of Entangle available to wood woads. Compared to the standard spell, it has a significantly shorter range, but larger area of effect.","Create a vine surface, slowing down creatures, possibly Entangling them.",Casting this spell at a higher level grants no additional benefit.,,,,Hellfire Curse,Multiattack (Red Dragon),,,
Entangling Plants,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,Per Turn,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,Shadow-Cursed Vines,,,,Self,Entangling Plants is a class action exclusive to Shadow-Cursed Vine Blights which creates an area of Shadow-Cursed Vines around the blight.,"Sprout cursed roots and vines all around you, slowing non-plant creatures and possibly Entangling enemies.",,,,,Hex,Multiattack (Redcap),,,
Enthrall,,Action,Level 2 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,6.0m,,,,,FALSE,FALSE,FALSE,,,,,Enchantment,2,,,,FALSE,,Enthralled,WIS,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,"Enthrall is a level 2 enchantment spell. It allows spellcasters to capture the attention of a creature, forcing it to focus on them.",Reduce a creature's peripheral vision and make it look at you.,Casting this spell at a higher level grants no additional benefit.,,,,Hex (Charisma),Multiattack (Sahuagin),,,
